t,CONST_TURNOVER
2009-01-01,3.51
2009-02-01,3.43
2009-03-01,3.45
2009-04-01,3.57
2009-05-01,3.51
2009-06-01,3.56
2009-07-01,3.5
2009-08-01,3.58
2009-09-01,3.55
2009-10-01,3.59
2009-11-01,3.54
2009-12-01,3.53
2010-01-01,2.89
2010-02-01,2.52
2010-03-01,3.02
2010-04-01,3.45
2010-05-01,3.56
2010-06-01,3.6
2010-07-01,3.61
2010-08-01,3.63
2010-09-01,3.7
2010-10-01,3.76
2010-11-01,3.63
2010-12-01,3.3
2011-01-01,3.52
2011-02-01,3.81
2011-03-01,3.86
2011-04-01,3.87
2011-05-01,3.99
2011-06-01,3.81
2011-07-01,3.84
2011-08-01,3.87
2011-09-01,3.91
2011-10-01,4.05
2011-11-01,4.02
2011-12-01,4.14
2012-01-01,4.14
2012-02-01,3.33
2012-03-01,3.9
2012-04-01,3.93
2012-05-01,4.02
2012-06-01,4.03
2012-07-01,4.11
2012-08-01,4.06
2012-09-01,4.13
2012-10-01,4.05
2012-11-01,4.09
2012-12-01,3.85
2013-01-01,3.73
2013-02-01,3.69
2013-03-01,3.44
2013-04-01,3.9
2013-05-01,3.96
2013-06-01,4.21
2013-07-01,4.28
2013-08-01,4.3
2013-09-01,4.3
2013-10-01,4.33
2013-11-01,4.37
2013-12-01,4.38
2014-01-01,4.5
2014-02-01,4.53
2014-03-01,4.46
2014-04-01,4.37
2014-05-01,4.23
2014-06-01,4.22
2014-07-01,4.21
2014-08-01,4.3
2014-09-01,4.26
2014-10-01,4.45
2014-11-01,4.42
2014-12-01,4.27
2015-01-01,4.47
2015-02-01,4.29
2015-03-01,4.31
2015-04-01,4.28
2015-05-01,4.28
2015-06-01,4.27
2015-07-01,4.38
2015-08-01,4.38
2015-09-01,4.4
2015-10-01,4.43
2015-11-01,4.42
2015-12-01,4.59
2016-01-01,4.41
2016-02-01,4.55
2016-03-01,4.47
2016-04-01,4.52
2016-05-01,4.61
2016-06-01,4.57
2016-07-01,4.63
2016-08-01,4.65
2016-09-01,4.82
2016-10-01,4.74
2016-11-01,4.68
2016-12-01,5.2
2017-01-01,4.61
2017-02-01,4.9
2017-03-01,5.01
2017-04-01,5.18
2017-05-01,5.15
2017-06-01,5.22
2017-07-01,5.2
2017-08-01,5.19
2017-09-01,5.16
2017-10-01,5.12
2017-11-01,5.23
2017-12-01,5.22
2018-01-01,5.46
2018-02-01,5.32
2018-03-01,4.96
2018-04-01,5.47
2018-05-01,5.68
2018-06-01,5.66
2018-07-01,5.74
2018-08-01,5.79
2018-09-01,5.82
2018-10-01,5.85
2018-11-01,5.83
2018-12-01,5.84
2019-01-01,5.95
2019-02-01,6.0
2019-03-01,6.24
2019-04-01,6.3
2019-05-01,6.05
2019-06-01,6.12
2019-07-01,5.96
2019-08-01,6.15
2019-09-01,6.17
2019-10-01,6.08
2019-11-01,6.11
2019-12-01,6.13
2020-01-01,6.88
2020-02-01,6.77
2020-03-01,6.6
2020-04-01,6.5
2020-05-01,6.47
2020-06-01,6.51
2020-07-01,5.97
2020-08-01,6.26
2020-09-01,6.23
2020-10-01,6.25
2020-11-01,6.34
2020-12-01,7.26
2021-01-01,6.16
2021-02-01,5.54
2021-03-01,6.12
2021-04-01,6.58
2021-05-01,6.38
2021-06-01,6.38
2021-07-01,6.38
2021-08-01,6.4
2021-09-01,6.48
2021-10-01,6.58
2021-11-01,6.58
2021-12-01,7.12
2022-01-01,7.1
2022-02-01,6.94
2022-03-01,6.99
2022-04-01,6.87
2022-05-01,6.88
2022-06-01,6.98
2022-07-01,6.98
2022-08-01,7.01
2022-09-01,7.04
2022-10-01,7.23
2022-11-01,7.38
2022-12-01,7.35
2023-01-01,7.18
2023-02-01,7.4
2023-03-01,7.34
2023-04-01,7.23
2023-05-01,7.4
2023-06-01,7.29
2023-07-01,7.41
2023-08-01,7.21
2023-09-01,7.39
2023-10-01,7.28
2023-11-01,7.17
2023-12-01,7.2
2024-01-01,6.85
2024-02-01,7.22
2024-03-01,7.33
2024-04-01,7.34
2024-05-01,7.18
2024-06-01,7.19
2024-07-01,7.19
2024-08-01,7.6
2024-09-01,7.22
2024-10-01,7.3
2024-11-01,7.4
2024-12-01,7.28
2025-01-01,7.72
2025-02-01,7.59
2025-03-01,7.45
2025-04-01,7.51
2025-05-01,7.45
2025-06-01,7.48
2025-07-01,7.48
2025-08-01,7.53
2025-09-01,7.48
2025-10-01,7.77
2025-11-01,7.91
2025-12-01,7.82
2026-01-01,7.66
