t,CONSUMPTION
1991-01-01,77.93
1991-04-01,77.86
1991-07-01,76.59
1991-10-01,77.79
1992-01-01,79.4
1992-04-01,79.21
1992-07-01,79.57
1992-10-01,80.12
1993-01-01,79.76
1993-04-01,79.31
1993-07-01,79.84
1993-10-01,80.49
1994-01-01,80.56
1994-04-01,80.88
1994-07-01,81.18
1994-10-01,81.51
1995-01-01,81.4
1995-04-01,82.08
1995-07-01,82.38
1995-10-01,82.67
1996-01-01,83.03
1996-04-01,83.42
1996-07-01,83.54
1996-10-01,83.8
1997-01-01,84.12
1997-04-01,84.31
1997-07-01,84.11
1997-10-01,84.72
1998-01-01,85.16
1998-04-01,84.88
1998-07-01,85.53
1998-10-01,86.33
1999-01-01,87.58
1999-04-01,87.95
1999-07-01,87.92
1999-10-01,88.98
2000-01-01,89.58
2000-04-01,90.37
2000-07-01,90.36
2000-10-01,90.28
2001-01-01,91.34
2001-04-01,90.66
2001-07-01,91.06
2001-10-01,91.37
2002-01-01,90.7
2002-04-01,90.03
2002-07-01,90.7
2002-10-01,91.09
2003-01-01,90.98
2003-04-01,91.01
2003-07-01,91.63
2003-10-01,91.63
2004-01-01,91.69
2004-04-01,91.57
2004-07-01,91.3
2004-10-01,91.79
2005-01-01,92.32
2005-04-01,92.62
2005-07-01,92.62
2005-10-01,92.57
2006-01-01,93.4
2006-04-01,93.85
2006-07-01,93.84
2006-10-01,94.81
2007-01-01,93.45
2007-04-01,94.1
2007-07-01,94.02
2007-10-01,93.9
2008-01-01,94.15
2008-04-01,93.78
2008-07-01,93.84
2008-10-01,93.31
2009-01-01,94.06
2009-04-01,94.42
2009-07-01,94.12
2009-10-01,94.21
2010-01-01,93.62
2010-04-01,94.52
2010-07-01,94.98
2010-10-01,95.44
2011-01-01,95.19
2011-04-01,95.61
2011-07-01,95.99
2011-10-01,96.25
2012-01-01,96.68
2012-04-01,96.9
2012-07-01,97.21
2012-10-01,96.75
2013-01-01,96.42
2013-04-01,97.31
2013-07-01,97.68
2013-10-01,97.0
2014-01-01,97.28
2014-04-01,97.69
2014-07-01,98.45
2014-10-01,98.93
2015-01-01,99.35
2015-04-01,99.84
2015-07-01,100.45
2015-10-01,101.27
2016-01-01,101.93
2016-04-01,101.77
2016-07-01,102.25
2016-10-01,103.04
2017-01-01,103.31
2017-04-01,104.16
2017-07-01,104.06
2017-10-01,104.95
2018-01-01,105.15
2018-04-01,105.49
2018-07-01,105.38
2018-10-01,106.35
2019-01-01,106.88
2019-04-01,107.21
2019-07-01,107.76
2019-10-01,107.73
2020-01-01,103.26
2020-04-01,92.3
2020-07-01,102.95
2020-10-01,100.89
2021-01-01,97.31
2021-04-01,99.81
2021-07-01,104.66
2021-10-01,105.37
2022-01-01,108.26
2022-04-01,108.49
2022-07-01,109.29
2022-10-01,107.76
2023-01-01,107.58
2023-04-01,108.55
2023-07-01,107.88
2023-10-01,107.79
2024-01-01,108.18
2024-04-01,108.31
2024-07-01,108.53
2024-10-01,108.98
2025-01-01,109.89
2025-04-01,110.28
2025-07-01,110.32
2025-10-01,110.89
