t,EMPLOYMENT_ESA
1991-01-01,39312
1991-02-01,39188
1991-03-01,39064
1991-04-01,39056
1991-05-01,39020
1991-06-01,38924
1991-07-01,38790
1991-08-01,38630
1991-09-01,38580
1991-10-01,38635
1991-11-01,38650
1991-12-01,38630
1992-01-01,38606
1992-02-01,38576
1992-03-01,38530
1992-04-01,38499
1992-05-01,38471
1992-06-01,38431
1992-07-01,38368
1992-08-01,38294
1992-09-01,38224
1992-10-01,38160
1992-11-01,38111
1992-12-01,38076
1993-01-01,38089
1993-02-01,38061
1993-03-01,38005
1993-04-01,37946
1993-05-01,37871
1993-06-01,37840
1993-07-01,37804
1993-08-01,37779
1993-09-01,37770
1993-10-01,37729
1993-11-01,37718
1993-12-01,37748
1994-01-01,37819
1994-02-01,37859
1994-03-01,37835
1994-04-01,37797
1994-05-01,37823
1994-06-01,37840
1994-07-01,37835
1994-08-01,37891
1994-09-01,37929
1994-10-01,37949
1994-11-01,37968
1994-12-01,37992
1995-01-01,37990
1995-02-01,38000
1995-03-01,38021
1995-04-01,38064
1995-05-01,38008
1995-06-01,38021
1995-07-01,38037
1995-08-01,38031
1995-09-01,38040
1995-10-01,38092
1995-11-01,38089
1995-12-01,38117
1996-01-01,38080
1996-02-01,38063
1996-03-01,38007
1996-04-01,38090
1996-05-01,38147
1996-06-01,38107
1996-07-01,38098
1996-08-01,38057
1996-09-01,38026
1996-10-01,38004
1996-11-01,38021
1996-12-01,38014
1997-01-01,37915
1997-02-01,37958
1997-03-01,37984
1997-04-01,38009
1997-05-01,38020
1997-06-01,38040
1997-07-01,38066
1997-08-01,38118
1997-09-01,38094
1997-10-01,38115
1997-11-01,38115
1997-12-01,38080
1998-01-01,38102
1998-02-01,38173
1998-03-01,38249
1998-04-01,38325
1998-05-01,38392
1998-06-01,38460
1998-07-01,38537
1998-08-01,38643
1998-09-01,38716
1998-10-01,38776
1998-11-01,38791
1998-12-01,38816
1999-01-01,38860
1999-02-01,38883
1999-03-01,38899
1999-04-01,38752
1999-05-01,38876
1999-06-01,39074
1999-07-01,39154
1999-08-01,39270
1999-09-01,39311
1999-10-01,39356
1999-11-01,39443
1999-12-01,39610
2000-01-01,39775
2000-02-01,39856
2000-03-01,39926
2000-04-01,39952
2000-05-01,39981
2000-06-01,40022
2000-07-01,40027
2000-08-01,40044
2000-09-01,40033
2000-10-01,40027
2000-11-01,40030
2000-12-01,40037
2001-01-01,39944
2001-02-01,39930
2001-03-01,39912
2001-04-01,39922
2001-05-01,39924
2001-06-01,39867
2001-07-01,39827
2001-08-01,39816
2001-09-01,39784
2001-10-01,39798
2001-11-01,39821
2001-12-01,39836
2002-01-01,39859
2002-02-01,39842
2002-03-01,39817
2002-04-01,39828
2002-05-01,39776
2002-06-01,39686
2002-07-01,39683
2002-08-01,39602
2002-09-01,39568
2002-10-01,39519
2002-11-01,39469
2002-12-01,39439
2003-01-01,39392
2003-02-01,39383
2003-03-01,39308
2003-04-01,39207
2003-05-01,39150
2003-06-01,39218
2003-07-01,39258
2003-08-01,39198
2003-09-01,39186
2003-10-01,39215
2003-11-01,39202
2003-12-01,39225
2004-01-01,39299
2004-02-01,39316
2004-03-01,39370
2004-04-01,39437
2004-05-01,39400
2004-06-01,39410
2004-07-01,39382
2004-08-01,39376
2004-09-01,39386
2004-10-01,39369
2004-11-01,39361
2004-12-01,39325
2005-01-01,39274
2005-02-01,39274
2005-03-01,39239
2005-04-01,39226
2005-05-01,39232
2005-06-01,39274
2005-07-01,39271
2005-08-01,39339
2005-09-01,39397
2005-10-01,39413
2005-11-01,39455
2005-12-01,39464
2006-01-01,39282
2006-02-01,39298
2006-03-01,39313
2006-04-01,39406
2006-05-01,39539
2006-06-01,39646
2006-07-01,39707
2006-08-01,39737
2006-09-01,39754
2006-10-01,39772
2006-11-01,39874
2006-12-01,39959
2007-01-01,40032
2007-02-01,40077
2007-03-01,40115
2007-04-01,40189
2007-05-01,40227
2007-06-01,40244
2007-07-01,40308
2007-08-01,40354
2007-09-01,40369
2007-10-01,40452
2007-11-01,40497
2007-12-01,40519
2008-01-01,40715
