t,EMPLOYMENT_SV
1999-06-01,27476
1999-07-01,27445
1999-08-01,27477
1999-09-01,27537
1999-10-01,27557
1999-11-01,27651
1999-12-01,27698
2000-01-01,27730
2000-02-01,27774
2000-03-01,27807
2000-04-01,27833
2000-05-01,27900
2000-06-01,27900
2000-07-01,27940
2000-08-01,27985
2000-09-01,27939
2000-10-01,27934
2000-11-01,27957
2000-12-01,27965
2001-01-01,27892
2001-02-01,27908
2001-03-01,27918
2001-04-01,27967
2001-05-01,27987
2001-06-01,27858
2001-07-01,27833
2001-08-01,27815
2001-09-01,27723
2001-10-01,27880
2001-11-01,27878
2001-12-01,27874
2002-01-01,27918
2002-02-01,27913
2002-03-01,27856
2002-04-01,27842
2002-05-01,27798
2002-06-01,27715
2002-07-01,27726
2002-08-01,27664
2002-09-01,27585
2002-10-01,27500
2002-11-01,27423
2002-12-01,27373
2003-01-01,27343
2003-02-01,27273
2003-03-01,27197
2003-04-01,27115
2003-05-01,27031
2003-06-01,26999
2003-07-01,26929
2003-08-01,26824
2003-09-01,26811
2003-10-01,26760
2003-11-01,26711
2003-12-01,26676
2004-01-01,26661
2004-02-01,26618
2004-03-01,26646
2004-04-01,26624
2004-05-01,26587
2004-06-01,26591
2004-07-01,26550
2004-08-01,26572
2004-09-01,26624
2004-10-01,26531
2004-11-01,26501
2004-12-01,26460
2005-01-01,26358
2005-02-01,26321
2005-03-01,26303
2005-04-01,26329
2005-05-01,26332
2005-06-01,26341
2005-07-01,26323
2005-08-01,26348
2005-09-01,26371
2005-10-01,26369
2005-11-01,26399
2005-12-01,26375
2006-01-01,26294
2006-02-01,26306
2006-03-01,26338
2006-04-01,26437
2006-05-01,26543
2006-06-01,26578
2006-07-01,26617
2006-08-01,26632
2006-09-01,26653
2006-10-01,26692
2006-11-01,26752
2006-12-01,26788
2007-01-01,26894
2007-02-01,26948
2007-03-01,26979
2007-04-01,27037
2007-05-01,27074
2007-06-01,27101
2007-07-01,27174
2007-08-01,27236
2007-09-01,27280
2007-10-01,27365
2007-11-01,27406
2007-12-01,27450
2008-01-01,27567
2008-02-01,27640
2008-03-01,27666
2008-04-01,27692
2008-05-01,27708
2008-06-01,27752
2008-07-01,27801
2008-08-01,27821
2008-09-01,27875
2008-10-01,27902
2008-11-01,27883
2008-12-01,27893
2009-01-01,27862
2009-02-01,27830
2009-03-01,27772
2009-04-01,27721
2009-05-01,27669
2009-06-01,27663
2009-07-01,27659
2009-08-01,27671
2009-09-01,27682
2009-10-01,27682
2009-11-01,27730
2009-12-01,27769
2010-01-01,27757
2010-02-01,27762
2010-03-01,27840
2010-04-01,27914
2010-05-01,27977
2010-06-01,28028
2010-07-01,28064
2010-08-01,28124
2010-09-01,28162
2010-10-01,28194
2010-11-01,28251
2010-12-01,28299
2011-01-01,28348
2011-02-01,28432
2011-03-01,28508
2011-04-01,28560
2011-05-01,28646
2011-06-01,28704
2011-07-01,28739
2011-08-01,28818
2011-09-01,28873
2011-10-01,28942
2011-11-01,29002
2011-12-01,29064
2012-01-01,29159
2012-02-01,29189
2012-03-01,29251
2012-04-01,29283
2012-05-01,29320
2012-06-01,29339
2012-07-01,29393
2012-08-01,29414
2012-09-01,29412
2012-10-01,29497
2012-11-01,29540
2012-12-01,29558
2013-01-01,29575
2013-02-01,29601
2013-03-01,29579
2013-04-01,29637
2013-05-01,29667
2013-06-01,29673
2013-07-01,29735
2013-08-01,29788
2013-09-01,29828
2013-10-01,29861
2013-11-01,29889
2013-12-01,29921
2014-01-01,29974
2014-02-01,30025
2014-03-01,30077
2014-04-01,30131
2014-05-01,30158
2014-06-01,30232
2014-07-01,30264
2014-08-01,30263
2014-09-01,30331
2014-10-01,30364
2014-11-01,30379
2014-12-01,30434
2015-01-01,30508
2015-02-01,30571
2015-03-01,30659
2015-04-01,30715
2015-05-01,30755
2015-06-01,30831
2015-07-01,30896
2015-08-01,30945
2015-09-01,31008
2015-10-01,31063
2015-11-01,31130
2015-12-01,31181
2016-01-01,31207
2016-02-01,31286
2016-03-01,31334
2016-04-01,31384
2016-05-01,31450
2016-06-01,31509
2016-07-01,31540
2016-08-01,31635
2016-09-01,31691
2016-10-01,31745
2016-11-01,31807
2016-12-01,31871
2017-01-01,31918
2017-02-01,31979
2017-03-01,32053
2017-04-01,32084
2017-05-01,32174
2017-06-01,32239
2017-07-01,32303
2017-08-01,32361
2017-09-01,32425
2017-10-01,32481
2017-11-01,32562
2017-12-01,32619
2018-01-01,32701
2018-02-01,32746
2018-03-01,32780
2018-04-01,32855
2018-05-01,32903
2018-06-01,32953
2018-07-01,33031
2018-08-01,33103
2018-09-01,33125
2018-10-01,33196
2018-11-01,33241
2018-12-01,33283
2019-01-01,33336
2019-02-01,33383
2019-03-01,33402
2019-04-01,33458
2019-05-01,33483
2019-06-01,33495
