t,EXPORTS
1991-01-01,32.95
1991-04-01,31.02
1991-07-01,32.52
1991-10-01,32.59
1992-01-01,32.99
1992-04-01,31.4
1992-07-01,32.27
1992-10-01,30.78
1993-01-01,29.74
1993-04-01,29.06
1993-07-01,29.14
1993-10-01,29.68
1994-01-01,30.66
1994-04-01,32.09
1994-07-01,31.93
1994-10-01,32.14
1995-01-01,33.4
1995-04-01,33.7
1995-07-01,33.91
1995-10-01,34.46
1996-01-01,34.95
1996-04-01,35.08
1996-07-01,35.93
1996-10-01,37.57
1997-01-01,38.26
1997-04-01,39.37
1997-07-01,41.46
1997-10-01,42.05
1998-01-01,42.96
1998-04-01,43.67
1998-07-01,43.16
1998-10-01,42.46
1999-01-01,42.7
1999-04-01,44.95
1999-07-01,45.88
1999-10-01,46.85
2000-01-01,49.05
2000-04-01,50.88
2000-07-01,51.71
2000-10-01,54.45
2001-01-01,54.28
2001-04-01,54.51
2001-07-01,54.37
2001-10-01,55.07
2002-01-01,54.79
2002-04-01,56.46
2002-07-01,57.35
2002-10-01,58.4
2003-01-01,56.59
2003-04-01,56.39
2003-07-01,58.07
2003-10-01,59.46
2004-01-01,61.81
2004-04-01,64.56
2004-07-01,63.42
2004-10-01,63.7
2005-01-01,65.3
2005-04-01,66.41
2005-07-01,69.12
2005-10-01,70.12
2006-01-01,72.36
2006-04-01,74.63
2006-07-01,76.7
2006-10-01,81.08
2007-01-01,80.47
2007-04-01,82.5
2007-07-01,84.11
2007-10-01,84.87
2008-01-01,85.56
2008-04-01,85.15
2008-07-01,84.43
2008-10-01,79.71
2009-01-01,70.37
2009-04-01,69.8
2009-07-01,72.02
2009-10-01,74.1
2010-01-01,76.31
2010-04-01,81.69
2010-07-01,83.01
2010-10-01,84.63
2011-01-01,86.72
2011-04-01,87.91
2011-07-01,88.87
2011-10-01,88.42
2012-01-01,90.14
2012-04-01,90.88
2012-07-01,91.95
2012-10-01,90.42
2013-01-01,90.07
2013-04-01,90.34
2013-07-01,91.89
2013-10-01,93.49
2014-01-01,93.36
2014-04-01,94.22
2014-07-01,95.89
2014-10-01,97.78
2015-01-01,98.27
2015-04-01,100.0
2015-07-01,99.97
2015-10-01,99.43
2016-01-01,100.42
2016-04-01,101.49
2016-07-01,101.29
2016-10-01,101.65
2017-01-01,103.6
2017-04-01,105.56
2017-07-01,106.55
2017-10-01,107.46
2018-01-01,108.9
2018-04-01,109.38
2018-07-01,108.1
2018-10-01,108.32
2019-01-01,111.64
2019-04-01,110.24
2019-07-01,111.28
2019-10-01,110.65
2020-01-01,107.71
2020-04-01,85.42
2020-07-01,100.28
2020-10-01,104.82
2021-01-01,107.97
2021-04-01,109.07
2021-07-01,108.11
2021-10-01,112.87
2022-01-01,113.56
2022-04-01,112.91
2022-07-01,114.91
2022-10-01,114.35
2023-01-01,113.95
2023-04-01,112.28
2023-07-01,112.4
2023-10-01,112.86
2024-01-01,111.78
2024-04-01,112.41
2024-07-01,110.52
2024-10-01,108.24
2025-01-01,110.92
2025-04-01,111.17
2025-07-01,110.15
2025-10-01,109.45
