t,GDP (QoQ % change)
1960-04-01,1.779654153
1960-07-01,3.456686475
1960-10-01,1.022068212
1961-01-01,1.011727665
1961-04-01,-0.539334482
1961-07-01,2.052513111
1961-10-01,0.455604549
1962-01-01,1.47335232
1962-04-01,1.042343972
1962-07-01,2.395209581
1962-10-01,-0.216173587
1963-01-01,-3.498025877
1963-04-01,4.484411506
1963-07-01,3.469247781
1963-10-01,0.483965882
1964-01-01,1.375907483
1964-04-01,1.221775492
1964-07-01,1.039093942
1964-10-01,1.360335531
1965-01-01,1.63656424
1965-04-01,1.578070865
1965-07-01,0.665875619
1965-10-01,0.598451791
1966-01-01,1.81592055
1966-04-01,0.307484942
1966-07-01,0.122676937
1966-10-01,-1.56154042
1967-01-01,-0.49772895
1967-04-01,-0.31257933
1967-07-01,2.414591866
1967-10-01,1.285930408
1968-01-01,1.170303986
1968-04-01,0.777279522
1968-07-01,2.195194304
1968-10-01,1.509433962
1969-01-01,2.516442665
1969-04-01,1.283087905
1969-07-01,2.148261051
1969-10-01,1.536742829
1970-01-01,-1.595662151
1970-04-01,3.975817699
1970-07-01,1.867836292
1970-10-01,0.847606644
1971-01-01,-1.921102523
1971-04-01,2.098640828
1971-07-01,1.730037193
1971-10-01,-0.084182124
1972-01-01,0.101102707
1972-04-01,1.632999089
1972-07-01,2.335604225
1972-10-01,1.553896295
1973-01-01,1.382723679
1973-04-01,0.738877462
1973-07-01,0.327712697
1973-10-01,0.24886882
1974-01-01,0.845690319
1974-04-01,-0.076938462
1974-07-01,4.35e-06
1974-10-01,-1.262707459
1975-01-01,-0.577005351
1975-04-01,-0.501954515
1975-07-01,1.087808729
1975-10-01,1.965054968
1976-01-01,0.898503341
1976-04-01,1.485514999
1976-07-01,0.029868819
1976-10-01,1.85157959
1977-01-01,0.853943577
1977-04-01,0.566949156
1977-07-01,-0.028904963
1977-10-01,1.720636701
1978-01-01,0.412115378
1978-04-01,0.396382149
1978-07-01,1.311340647
1978-10-01,1.169104613
1979-01-01,0.123655596
1979-04-01,3.10525348
1979-07-01,7.53e-06
1979-10-01,0.61299334
1980-01-01,0.801235019
1980-04-01,-0.64380222
1980-07-01,-0.396722368
1980-10-01,-0.132760006
1981-01-01,1.189866492
1981-04-01,-0.249632331
1981-07-01,0.263433962
1981-10-01,-0.078831451
1982-01-01,0.37467052
1982-04-01,-0.615593473
1982-07-01,-0.988403773
1982-10-01,0.239588883
1983-01-01,0.906269548
1983-04-01,1.052777518
1983-07-01,-0.208367803
1983-10-01,1.383273921
1984-01-01,1.322572601
1984-04-01,-1.575206402
1984-07-01,2.723287578
1984-10-01,0.841814285
1985-01-01,-0.545070922
1985-04-01,1.002247959
1985-07-01,1.302408149
1985-10-01,0.599977251
1986-01-01,-0.57204937
1986-04-01,1.150684662
1986-07-01,0.738239227
1986-10-01,0.997108218
1987-01-01,-2.509804892
1987-04-01,2.244993958
1987-07-01,0.69212071
1987-10-01,1.599900168
1988-01-01,-0.906972722
1988-04-01,1.812832048
1988-07-01,1.133075704
1988-10-01,1.177546594
1989-01-01,1.045142904
1989-04-01,0.402547977
1989-07-01,0.913245256
1989-10-01,1.158805549
1990-01-01,2.075706554
1990-04-01,0.491660084
1990-07-01,2.105934971
1990-10-01,1.760421133
1991-01-01,2.729544879
1991-04-01,-0.480155175
1991-07-01,-0.156095701
1991-10-01,1.435471387
1992-01-01,1.376711473
1992-04-01,-0.621976503
1992-07-01,-0.236441756
1992-10-01,-0.27882014
1993-01-01,-0.79338977
1993-04-01,0.014098813
1993-07-01,0.59179881
1993-10-01,-0.084046004
1994-01-01,1.412397778
1994-04-01,0.552944395
1994-07-01,0.591142689
1994-10-01,1.10700661
1995-01-01,-0.395358492
1995-04-01,0.800659217
1995-07-01,0.20193761
1995-10-01,0.040307063
1996-01-01,-0.711755762
1996-04-01,1.366159114
1996-07-01,0.386974906
1996-10-01,0.917185186
1997-01-01,-0.510379191
1997-04-01,1.112140537
1997-07-01,0.392818328
1997-10-01,0.743448083
1998-01-01,0.954809421
1998-04-01,-0.461654134
1998-07-01,0.48955727
1998-10-01,-0.025630556
1999-01-01,1.160574279
1999-04-01,-0.126776732
1999-07-01,1.370899359
1999-10-01,0.475836049
2000-01-01,1.542171588
2000-04-01,0.79773608
2000-07-01,0.073053787
2000-10-01,-0.425835533
2001-01-01,2.123035735
2001-04-01,-0.251252999
2001-07-01,-2.781e-06
2001-10-01,-0.311859896
2002-01-01,-0.466276767
2002-04-01,0.386844956
2002-07-01,0.686422348
2002-10-01,-0.275088922
2003-01-01,-1.358215602
2003-04-01,0.145890344
2003-07-01,0.910526444
2003-10-01,0.120310227
2004-01-01,-0.153198083
2004-04-01,0.589723098
2004-07-01,-0.323049886
2004-10-01,-0.036002571
2005-01-01,0.159071058
2005-04-01,0.599443211
2005-07-01,0.786560229
2005-10-01,0.378386424
2006-01-01,1.116089448
2006-04-01,1.712491642
