t,GNI
1991-01-01,392.696
1991-04-01,400.81
1991-07-01,402.853
1991-10-01,411.06
1992-01-01,427.728
1992-04-01,428.674
1992-07-01,434.099
1992-10-01,434.479
1993-01-01,435.087
1993-04-01,442.292
1993-07-01,444.683
1993-10-01,446.621
1994-01-01,454.859
1994-04-01,457.101
1994-07-01,461.394
1994-10-01,465.684
1995-01-01,471.073
1995-04-01,473.249
1995-07-01,475.412
1995-10-01,477.626
1996-01-01,478.564
1996-04-01,479.259
1996-07-01,482.217
1996-10-01,488.75
1997-01-01,479.139
1997-04-01,491.858
1997-07-01,494.318
1997-10-01,498.026
1998-01-01,499.771
1998-04-01,498.058
1998-07-01,504.082
1998-10-01,508.779
1999-01-01,508.891
1999-04-01,513.749
1999-07-01,517.913
1999-10-01,521.59
2000-01-01,530.525
2000-04-01,528.712
2000-07-01,526.321
2000-10-01,531.431
2001-01-01,543.576
2001-04-01,542.511
2001-07-01,543.602
2001-10-01,549.892
2002-01-01,542.381
2002-04-01,548.775
2002-07-01,555.557
2002-10-01,553.246
2003-01-01,548.133
2003-04-01,549.32
2003-07-01,559.859
2003-10-01,560.457
2004-01-01,570.027
2004-04-01,577.753
2004-07-01,577.741
2004-10-01,581.333
2005-01-01,574.453
2005-04-01,589.503
2005-07-01,588.018
2005-10-01,592.742
2006-01-01,604.393
2006-04-01,613.978
2006-07-01,618.102
2006-10-01,630.37
2007-01-01,640.94
2007-04-01,640.952
2007-07-01,644.842
2007-10-01,652.132
2008-01-01,653.228
2008-04-01,660.743
2008-07-01,654.519
2008-10-01,645.509
2009-01-01,627.161
2009-04-01,629.084
2009-07-01,642.202
2009-10-01,651.475
2010-01-01,649.329
2010-04-01,662.073
2010-07-01,672.671
2010-10-01,683.707
2011-01-01,695.934
2011-04-01,700.652
2011-07-01,709.796
2011-10-01,711.188
2012-01-01,716.336
2012-04-01,712.662
2012-07-01,717.813
2012-10-01,720.111
2013-01-01,717.24
2013-04-01,735.339
2013-07-01,739.25
2013-10-01,741.985
2014-01-01,751.311
2014-04-01,756.82
2014-07-01,766.51
2014-10-01,772.476
2015-01-01,773.958
2015-04-01,779.693
2015-07-01,794.204
2015-10-01,800.057
2016-01-01,809.948
2016-04-01,824.632
2016-07-01,822.275
2016-10-01,830.027
2017-01-01,843.703
2017-04-01,846.524
2017-07-01,858.514
2017-10-01,869.11
2018-01-01,881.702
2018-04-01,892.59
2018-07-01,890.614
2018-10-01,904.195
2019-01-01,909.885
2019-04-01,911.939
2019-07-01,924.38
2019-10-01,922.016
2020-01-01,908.16
2020-04-01,828.949
2020-07-01,889.343
2020-10-01,911.934
2021-01-01,918.892
2021-04-01,940.083
2021-07-01,963.746
2021-10-01,982.749
2022-01-01,1007.406
2022-04-01,1018.744
2022-07-01,1031.378
2022-10-01,1051.101
2023-01-01,1076.435
2023-04-01,1082.816
2023-07-01,1092.412
2023-10-01,1104.322
2024-01-01,1111.861
2024-04-01,1121.624
2024-07-01,1119.661
2024-10-01,1124.955
2025-01-01,1142.41
2025-04-01,1156.745
2025-07-01,1161.055
2025-10-01,1171.514
