t,IMPORTS
1991-01-01,34.53
1991-04-01,34.73
1991-07-01,35.19
1991-10-01,35.12
1992-01-01,36.34
1992-04-01,35.3
1992-07-01,35.15
1992-10-01,35.65
1993-01-01,32.24
1993-04-01,32.5
1993-07-01,32.98
1993-10-01,33.04
1994-01-01,33.71
1994-04-01,35.16
1994-07-01,35.88
1994-10-01,36.54
1995-01-01,36.7
1995-04-01,37.71
1995-07-01,37.99
1995-10-01,38.42
1996-01-01,38.55
1996-04-01,38.81
1996-07-01,39.07
1996-10-01,40.58
1997-01-01,41.78
1997-04-01,42.17
1997-07-01,43.57
1997-10-01,44.14
1998-01-01,45.81
1998-04-01,46.89
1998-07-01,47.16
1998-10-01,46.96
1999-01-01,48.9
1999-04-01,50.42
1999-07-01,51.67
1999-10-01,51.7
2000-01-01,53.47
2000-04-01,55.04
2000-07-01,56.85
2000-10-01,59.75
2001-01-01,57.5
2001-04-01,57.66
2001-07-01,56.54
2001-10-01,55.77
2002-01-01,53.88
2002-04-01,55.02
2002-07-01,55.14
2002-10-01,56.42
2003-01-01,57.64
2003-04-01,56.99
2003-07-01,57.45
2003-10-01,59.16
2004-01-01,59.71
2004-04-01,60.93
2004-07-01,62.09
2004-10-01,62.24
2005-01-01,61.33
2005-04-01,64.39
2005-07-01,66.09
2005-10-01,68.51
2006-01-01,70.23
2006-04-01,71.3
2006-07-01,72.62
2006-10-01,74.87
2007-01-01,75.64
2007-04-01,76.06
2007-07-01,77.71
2007-10-01,77.69
2008-01-01,78.27
2008-04-01,77.42
2008-07-01,78.87
2008-10-01,76.2
2009-01-01,71.55
2009-04-01,67.92
2009-07-01,70.26
2009-10-01,69.63
2010-01-01,74.24
2010-04-01,79.58
2010-07-01,79.38
2010-10-01,80.35
2011-01-01,82.41
2011-04-01,84.42
2011-07-01,84.46
2011-10-01,83.62
2012-01-01,83.6
2012-04-01,83.84
2012-07-01,84.13
2012-10-01,83.47
2013-01-01,83.65
2013-04-01,85.03
2013-07-01,86.36
2013-10-01,86.4
2014-01-01,86.53
2014-04-01,87.93
2014-07-01,88.51
2014-10-01,90.1
2015-01-01,91.71
2015-04-01,91.85
2015-07-01,92.82
2015-10-01,93.85
2016-01-01,95.56
2016-04-01,94.93
2016-07-01,95.57
2016-10-01,97.65
2017-01-01,98.04
2017-04-01,100.51
2017-07-01,100.69
2017-10-01,102.23
2018-01-01,103.8
2018-04-01,104.28
2018-07-01,106.74
2018-10-01,107.4
2019-01-01,109.11
2019-04-01,107.95
2019-07-01,109.57
2019-10-01,110.32
2020-01-01,108.2
2020-04-01,89.14
2020-07-01,98.74
2020-10-01,102.46
2021-01-01,106.18
2021-04-01,106.85
2021-07-01,107.71
2021-10-01,114.49
2022-01-01,115.11
2022-04-01,115.97
2022-07-01,119.08
2022-10-01,118.61
2023-01-01,117.35
2023-04-01,116.66
2023-07-01,115.47
2023-10-01,114.43
2024-01-01,113.99
2024-04-01,115.45
2024-07-01,116.24
2024-10-01,116.31
2025-01-01,118.07
2025-04-01,119.68
2025-07-01,120.88
2025-10-01,120.46
