t,PERMITS
1994-01-01,355.1162
1994-02-01,339.4679
1994-03-01,350.3207
1994-04-01,359.2807
1994-05-01,344.5157
1994-06-01,361.2998
1994-07-01,352.2137
1994-08-01,363.4452
1994-09-01,354.6114
1994-10-01,382.3746
1994-11-01,356.1258
1994-12-01,352.3399
1995-01-01,351.5827
1995-02-01,349.0588
1995-03-01,332.6533
1995-04-01,334.7986
1995-05-01,317.7621
1995-06-01,299.7161
1995-07-01,322.179
1995-08-01,308.676
1995-09-01,300.0946
1995-10-01,287.9798
1995-11-01,302.871
1995-12-01,338.9631
1996-01-01,300.4732
1996-02-01,293.6586
1996-03-01,306.1521
1996-04-01,302.24
1996-05-01,278.0103
1996-06-01,306.5307
1996-07-01,288.3584
1996-08-01,283.6891
1996-09-01,277.0007
1996-10-01,269.0504
1996-11-01,277.7579
1996-12-01,273.8458
1997-01-01,273.0887
1997-02-01,310.0641
1997-03-01,274.2244
1997-04-01,260.0905
1997-05-01,274.0982
1997-06-01,260.5952
1997-07-01,262.2358
1997-08-01,251.2567
1997-09-01,266.6526
1997-10-01,262.1096
1997-11-01,257.4403
1997-12-01,236.3656
1998-01-01,225.1341
1998-02-01,218.0671
1998-03-01,229.0462
1998-04-01,245.8303
1998-05-01,266.4002
1998-06-01,255.0426
1998-07-01,225.3865
1998-08-01,246.8398
1998-09-01,239.7728
1998-10-01,234.725
1998-11-01,223.1149
1998-12-01,246.3351
1999-01-01,226.9008
1999-02-01,203.6807
1999-03-01,222.1054
1999-04-01,222.3578
1999-05-01,226.0175
1999-06-01,226.7746
1999-07-01,227.1532
1999-08-01,215.0384
1999-09-01,218.3195
1999-10-01,223.6197
1999-11-01,211.8835
1999-12-01,203.8069
2000-01-01,136.0395
2000-02-01,118.1197
2000-03-01,131.6227
2000-04-01,122.4103
2000-05-01,125.1867
2000-06-01,124.5557
2000-07-01,124.9343
2000-08-01,124.6819
2000-09-01,123.5461
2000-10-01,111.5575
2000-11-01,107.393
2000-12-01,100.957
2001-01-01,88.21117
2001-02-01,103.9857
2001-03-01,100.7046
2001-04-01,107.1406
2001-05-01,113.829
2001-06-01,112.567
2001-07-01,112.4408
2001-08-01,106.0048
2001-09-01,103.1023
2001-10-01,103.2285
2001-11-01,90.73509
2001-12-01,84.29909
2002-01-01,92.62804
2002-02-01,93.00662
2002-03-01,89.34693
2002-04-01,100.326
2002-05-01,98.30687
2002-06-01,96.91871
2002-07-01,98.55926
2002-08-01,94.26859
2002-09-01,93.7638
2002-10-01,86.9492
2002-11-01,91.87086
2002-12-01,126.5748
2003-01-01,141.3398
2003-02-01,124.4295
2003-03-01,112.0623
2003-04-01,103.2285
