t,PPI
1991-01-01,65.6
1991-02-01,65.7
1991-03-01,65.6
1991-04-01,66.2
1991-05-01,66.2
1991-06-01,66.3
1991-07-01,66.8
1991-08-01,66.9
1991-09-01,67.1
1991-10-01,67.0
1991-11-01,67.1
1991-12-01,67.1
1992-01-01,66.7
1992-02-01,67.0
1992-03-01,67.2
1992-04-01,67.5
1992-05-01,67.4
1992-06-01,67.7
1992-07-01,67.5
1992-08-01,67.5
1992-09-01,67.4
1992-10-01,67.3
1992-11-01,67.4
1992-12-01,67.4
1993-01-01,67.3
1993-02-01,67.5
1993-03-01,67.5
1993-04-01,67.3
1993-05-01,67.3
1993-06-01,67.3
1993-07-01,67.4
1993-08-01,67.4
1993-09-01,67.1
1993-10-01,67.1
1993-11-01,67.2
1993-12-01,67.3
1994-01-01,67.4
1994-02-01,67.5
1994-03-01,67.6
1994-04-01,67.5
1994-05-01,67.6
1994-06-01,67.6
1994-07-01,67.6
1994-08-01,67.6
1994-09-01,67.5
1994-10-01,67.7
1994-11-01,68.1
1994-12-01,68.3
1995-01-01,68.5
1995-02-01,68.8
1995-03-01,69.0
1995-04-01,68.8
1995-05-01,68.8
1995-06-01,68.9
1995-07-01,68.8
1995-08-01,68.8
1995-09-01,68.9
1995-10-01,68.9
1995-11-01,68.9
1995-12-01,69.1
1996-01-01,68.0
1996-02-01,68.0
1996-03-01,67.9
1996-04-01,67.8
1996-05-01,67.9
1996-06-01,67.8
1996-07-01,67.7
1996-08-01,67.7
1996-09-01,68.0
1996-10-01,68.3
1996-11-01,68.4
1996-12-01,68.5
1997-01-01,68.4
1997-02-01,68.5
1997-03-01,68.4
1997-04-01,68.5
1997-05-01,68.7
1997-06-01,68.7
1997-07-01,68.8
1997-08-01,69.1
1997-09-01,69.0
1997-10-01,69.1
1997-11-01,69.1
1997-12-01,69.2
1998-01-01,69.0
1998-02-01,69.0
1998-03-01,69.1
1998-04-01,68.8
1998-05-01,68.8
1998-06-01,68.7
1998-07-01,68.6
1998-08-01,68.5
1998-09-01,68.4
1998-10-01,68.1
1998-11-01,67.7
1998-12-01,67.7
1999-01-01,67.4
1999-02-01,67.3
1999-03-01,67.3
1999-04-01,67.5
1999-05-01,67.4
1999-06-01,67.6
1999-07-01,67.9
1999-08-01,68.0
1999-09-01,68.1
1999-10-01,68.3
1999-11-01,68.4
1999-12-01,68.4
2000-01-01,68.8
2000-02-01,68.6
2000-03-01,68.7
2000-04-01,68.9
2000-05-01,69.1
2000-06-01,69.4
2000-07-01,69.9
2000-08-01,70.2
2000-09-01,70.8
2000-10-01,71.1
2000-11-01,71.5
2000-12-01,71.5
2001-01-01,71.7
2001-02-01,71.7
2001-03-01,71.9
2001-04-01,72.2
2001-05-01,72.4
2001-06-01,72.4
2001-07-01,72.0
2001-08-01,72.1
2001-09-01,72.2
2001-10-01,71.5
2001-11-01,71.5
2001-12-01,71.6
2002-01-01,71.5
2002-02-01,71.4
2002-03-01,71.7
2002-04-01,71.4
2002-05-01,71.4
2002-06-01,71.4
2002-07-01,71.3
2002-08-01,71.3
2002-09-01,71.4
2002-10-01,71.6
2002-11-01,71.6
2002-12-01,71.9
2003-01-01,72.7
2003-02-01,72.8
2003-03-01,72.9
2003-04-01,72.5
2003-05-01,72.5
2003-06-01,72.4
2003-07-01,72.5
2003-08-01,72.7
2003-09-01,72.8
2003-10-01,72.8
2003-11-01,73.1
2003-12-01,73.2
2004-01-01,72.7
2004-02-01,72.7
2004-03-01,73.0
2004-04-01,73.2
2004-05-01,73.6
2004-06-01,73.5
2004-07-01,73.9
2004-08-01,74.3
2004-09-01,74.4
2004-10-01,75.2
2004-11-01,75.2
2004-12-01,75.3
2005-01-01,75.8
2005-02-01,75.9
2005-03-01,76.2
2005-04-01,76.5
2005-05-01,76.4
2005-06-01,76.8
2005-07-01,77.2
2005-08-01,77.6
2005-09-01,77.8
2005-10-01,78.3
2005-11-01,78.5
2005-12-01,78.9
2006-01-01,80.0
2006-02-01,80.4
2006-03-01,80.6
2006-04-01,81.2
2006-05-01,81.2
2006-06-01,81.2
2006-07-01,81.7
2006-08-01,82.1
2006-09-01,81.8
2006-10-01,81.8
2006-11-01,82.0
2006-12-01,82.3
2007-01-01,82.1
2007-02-01,82.1
2007-03-01,81.9
2007-04-01,81.8
