t,ULC
1991-01-01,70.42759
1991-04-01,74.09043
1991-07-01,74.6127
1991-10-01,74.68196
1992-01-01,75.80252
1992-04-01,77.99217
1992-07-01,80.6405
1992-10-01,80.35531
1993-01-01,80.5369
1993-04-01,81.90189
1993-07-01,81.88512
1993-10-01,82.54173
1994-01-01,82.23231
1994-04-01,81.64463
1994-07-01,81.88242
1994-10-01,82.10899
1995-01-01,83.2075
1995-04-01,83.56638
1995-07-01,84.06253
1995-10-01,84.66493
1996-01-01,84.83025
1996-04-01,83.56359
1996-07-01,83.89185
1996-10-01,83.34486
1997-01-01,83.67886
1997-04-01,82.69035
1997-07-01,82.47114
1997-10-01,82.47484
1998-01-01,81.91343
1998-04-01,83.07137
1998-07-01,83.22994
1998-10-01,83.94434
1999-01-01,82.95492
1999-04-01,84.26114
1999-07-01,83.55273
1999-10-01,83.77335
2000-01-01,83.71996
2000-04-01,83.67455
2000-07-01,84.33804
2000-10-01,85.1377
2001-01-01,83.54372
2001-04-01,83.90385
2001-07-01,83.97144
2001-10-01,85.01659
2002-01-01,85.08172
2002-04-01,84.80443
2002-07-01,84.81377
2002-10-01,85.25959
2003-01-01,86.29314
2003-04-01,86.16876
2003-07-01,86.1568
2003-10-01,86.01048
2004-01-01,86.42248
2004-04-01,85.88552
2004-07-01,86.22211
2004-10-01,86.27213
2005-01-01,86.18999
2005-04-01,85.57932
2005-07-01,84.96553
2005-10-01,84.95986
2006-01-01,84.49284
2006-04-01,83.6022
2006-07-01,83.88773
2006-10-01,82.85152
2007-01-01,83.36262
2007-04-01,83.38149
2007-07-01,83.51774
2007-10-01,83.60083
2008-01-01,84.21527
2008-04-01,85.28778
2008-07-01,86.31079
2008-10-01,88.46112
2009-01-01,91.9954
2009-04-01,91.52339
2009-07-01,91.56548
2009-10-01,91.27148
2010-01-01,91.55089
2010-04-01,90.31392
2010-07-01,90.35983
2010-10-01,90.62444
2011-01-01,90.24291
2011-04-01,91.00436
2011-07-01,91.03751
2011-10-01,91.73053
2012-01-01,92.68861
2012-04-01,93.79144
2012-07-01,94.11114
2012-10-01,95.0653
2013-01-01,95.92044
2013-04-01,95.68069
2013-07-01,96.05859
2013-10-01,96.61828
2014-01-01,97.00385
2014-04-01,97.74071
2014-07-01,98.00983
2014-10-01,98.03918
2015-01-01,99.07834
2015-04-01,99.98759
2015-07-01,100.2365
2015-10-01,100.6976
2016-01-01,100.6262
2016-04-01,101.1476
2016-07-01,101.801
2016-10-01,102.5036
2017-01-01,102.2217
2017-04-01,102.6181
2017-07-01,102.6495
2017-10-01,102.8861
2018-01-01,104.6489
2018-04-01,105.1005
2018-07-01,107.0041
2018-10-01,107.3053
2019-01-01,107.9292
2019-04-01,109.3738
2019-07-01,110.0915
2019-10-01,110.2975
2020-01-01,112.8266
2020-04-01,118.4898
2020-07-01,112.5563
2020-10-01,112.6942
2021-01-01,112.4682
2021-04-01,111.6979
2021-07-01,114.5755
2021-10-01,115.2158
2022-01-01,115.8379
2022-04-01,116.4747
2022-07-01,117.7252
2022-10-01,120.8932
2023-01-01,123.9205
2023-04-01,125.6382
2023-07-01,127.2533
2023-10-01,130.054
2024-01-01,131.6177
2024-04-01,133.2773
2024-07-01,134.8561
2024-10-01,136.2811
2025-01-01,137.4184
2025-04-01,139.5069
2025-07-01,141.4485
2025-10-01,142.2728
