"";BBXS1.Q.DE.S.EUBUCS.MANU.MAN013.TT.PCT.I00;BBXS1.Q.DE.S.EUBUCS.MANU.MAN013.TT.PCT.I00_FLAGS
"";Konjunkturumfrage bei Unternehmen und Verbrauchern (EU-Kommission) / Verarbeitendes Gewerbe / Kapazitätsauslastung / Deutschland / nur saisonbereinigt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;%;
Format der Zeitangabe;P3M;
Hinweise zur Methodik;In Prozent ausgedrückte Beziehung zwischen der potenziellen Leistung und der tatsächlich produzierten Leistung. Datenerhebung am Anfang des Quartals.;
Kategorie;KPPR;
Quelle;Europäische Kommission - Generaldirektion für Wirtschaft und Finanzen (DG ECFIN).;
Stand vom;17.04.2026 10:51:48 Uhr;
1985-Q1;82,5;
1985-Q2;83,4;
1985-Q3;84,1;
1985-Q4;84,3;
1986-Q1;84,8;
1986-Q2;84,7;
1986-Q3;84,7;
1986-Q4;84,8;
1987-Q1;84,2;
1987-Q2;84,1;
1987-Q3;84,1;
1987-Q4;84,3;
1988-Q1;84,5;
1988-Q2;85,3;
1988-Q3;86,1;
1988-Q4;87,0;
1989-Q1;87,9;
1989-Q2;88,2;
1989-Q3;88,8;
1989-Q4;89,1;
1990-Q1;89,3;
1990-Q2;89,6;
1990-Q3;89,7;
1990-Q4;90,0;
1991-Q1;88,7;
1991-Q2;88,1;
1991-Q3;86,9;
1991-Q4;86,0;
1992-Q1;85,8;
1992-Q2;80,4;
1992-Q3;79,4;
1992-Q4;77,6;
1993-Q1;76,4;
1993-Q2;76,0;
1993-Q3;76,0;
1993-Q4;77,0;
1994-Q1;78,5;
1994-Q2;80,3;
1994-Q3;82,1;
1994-Q4;83,2;
1995-Q1;84,3;
1995-Q2;84,6;
1995-Q3;84,0;
1995-Q4;83,6;
1996-Q1;82,1;
1996-Q2;82,0;
1996-Q3;81,9;
1996-Q4;82,0;
1997-Q1;83,4;
1997-Q2;83,9;
1997-Q3;84,8;
1997-Q4;85,6;
1998-Q1;85,7;
1998-Q2;86,1;
1998-Q3;85,5;
1998-Q4;84,5;
1999-Q1;84,0;
1999-Q2;83,7;
1999-Q3;84,1;
1999-Q4;84,6;
2000-Q1;85,6;
2000-Q2;86,4;
2000-Q3;87,0;
2000-Q4;87,7;
2001-Q1;87,9;
2001-Q2;84,6;
2001-Q3;83,9;
2001-Q4;82,4;
2002-Q1;82,3;
2002-Q2;82,1;
2002-Q3;82,6;
2002-Q4;82,8;
2003-Q1;82,6;
2003-Q2;82,9;
2003-Q3;82,5;
2003-Q4;83,2;
2004-Q1;83,5;
2004-Q2;83,9;
2004-Q3;84,3;
2004-Q4;84,1;
2005-Q1;83,9;
2005-Q2;83,6;
2005-Q3;83,9;
2005-Q4;84,4;
2006-Q1;85,0;
2006-Q2;86,3;
2006-Q3;87,2;
2006-Q4;87,9;
2007-Q1;88,0;
2007-Q2;88,5;
2007-Q3;88,4;
2007-Q4;88,5;
2008-Q1;88,2;
2008-Q2;87,6;
2008-Q3;86,5;
2008-Q4;84,9;
2009-Q1;75,3;
2009-Q2;70,3;
2009-Q3;70,8;
2009-Q4;72,8;
2010-Q1;74,5;
2010-Q2;79,4;
2010-Q3;82,0;
2010-Q4;83,5;
2011-Q1;84,7;
2011-Q2;85,8;
2011-Q3;85,9;
2011-Q4;85,6;
2012-Q1;84,8;
2012-Q2;84,4;
2012-Q3;83,5;
2012-Q4;82,5;
2013-Q1;82,6;
2013-Q2;82,5;
2013-Q3;83,1;
2013-Q4;83,8;
2014-Q1;84,0;
2014-Q2;84,4;
2014-Q3;84,3;
2014-Q4;84,2;
2015-Q1;84,0;
2015-Q2;84,3;
2015-Q3;84,3;
2015-Q4;84,1;
2016-Q1;84,3;
2016-Q2;84,3;
2016-Q3;84,6;
2016-Q4;85,2;
2017-Q1;85,4;
2017-Q2;86,3;
2017-Q3;87,0;
2017-Q4;87,5;
2018-Q1;87,9;
2018-Q2;87,8;
2018-Q3;87,7;
2018-Q4;87,1;
2019-Q1;86,0;
2019-Q2;85,1;
2019-Q3;84,0;
2019-Q4;83,2;
2020-Q1;83,1;
2020-Q2;69,7;
2020-Q3;74,8;
2020-Q4;81,6;
2021-Q1;82,1;
2021-Q2;85,0;
2021-Q3;86,1;
2021-Q4;85,8;
2022-Q1;86,0;
2022-Q2;85,0;
2022-Q3;85,1;
2022-Q4;85,0;
2023-Q1;84,3;
2023-Q2;84,1;
2023-Q3;83,2;
2023-Q4;82,1;
2024-Q1;80,9;
2024-Q2;79,7;
2024-Q3;77,9;
2024-Q4;76,7;
2025-Q1;76,7;
2025-Q2;77,0;
2025-Q3;77,2;
2025-Q4;77,7;
2026-Q1;77,4;
