"";BBNZ1.Q.DE.Y.H.0103.A;BBNZ1.Q.DE.Y.H.0103.A_FLAGS
"";Deutschland / Verwendung des Bruttoinlandsprodukts / Private Konsumausgaben / In verketteten Vorjahrespreisen (Kettenindex) / kalender- und saisonbereinigt;
Dezimalstellen;2;
Dimension;Eins;
Einheit;2020=100;
Format der Zeitangabe;P3M;
Kategorie;GRVG;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;25.02.2026 08:08:56 Uhr;
1991-Q1;77,93;
1991-Q2;77,86;
1991-Q3;76,59;
1991-Q4;77,79;
1992-Q1;79,40;
1992-Q2;79,21;
1992-Q3;79,57;
1992-Q4;80,12;
1993-Q1;79,76;
1993-Q2;79,31;
1993-Q3;79,84;
1993-Q4;80,49;
1994-Q1;80,56;
1994-Q2;80,88;
1994-Q3;81,18;
1994-Q4;81,51;
1995-Q1;81,40;
1995-Q2;82,08;
1995-Q3;82,38;
1995-Q4;82,67;
1996-Q1;83,03;
1996-Q2;83,42;
1996-Q3;83,54;
1996-Q4;83,80;
1997-Q1;84,12;
1997-Q2;84,31;
1997-Q3;84,11;
1997-Q4;84,72;
1998-Q1;85,16;
1998-Q2;84,88;
1998-Q3;85,53;
1998-Q4;86,33;
1999-Q1;87,58;
1999-Q2;87,95;
1999-Q3;87,92;
1999-Q4;88,98;
2000-Q1;89,58;
2000-Q2;90,37;
2000-Q3;90,36;
2000-Q4;90,28;
2001-Q1;91,34;
2001-Q2;90,66;
2001-Q3;91,06;
2001-Q4;91,37;
2002-Q1;90,70;
2002-Q2;90,03;
2002-Q3;90,70;
2002-Q4;91,09;
2003-Q1;90,98;
2003-Q2;91,01;
2003-Q3;91,63;
2003-Q4;91,63;
2004-Q1;91,69;
2004-Q2;91,57;
2004-Q3;91,30;
2004-Q4;91,79;
2005-Q1;92,32;
2005-Q2;92,62;
2005-Q3;92,62;
2005-Q4;92,57;
2006-Q1;93,40;
2006-Q2;93,85;
2006-Q3;93,84;
2006-Q4;94,81;
2007-Q1;93,45;
2007-Q2;94,10;
2007-Q3;94,02;
2007-Q4;93,90;
2008-Q1;94,15;
2008-Q2;93,78;
2008-Q3;93,84;
2008-Q4;93,31;
2009-Q1;94,06;
2009-Q2;94,42;
2009-Q3;94,12;
2009-Q4;94,21;
2010-Q1;93,62;
2010-Q2;94,52;
2010-Q3;94,98;
2010-Q4;95,44;
2011-Q1;95,19;
2011-Q2;95,61;
2011-Q3;95,99;
2011-Q4;96,25;
2012-Q1;96,68;
2012-Q2;96,90;
2012-Q3;97,21;
2012-Q4;96,75;
2013-Q1;96,42;
2013-Q2;97,31;
2013-Q3;97,68;
2013-Q4;97,00;
2014-Q1;97,28;
2014-Q2;97,69;
2014-Q3;98,45;
2014-Q4;98,93;
2015-Q1;99,35;
2015-Q2;99,84;
2015-Q3;100,45;
2015-Q4;101,27;
2016-Q1;101,93;
2016-Q2;101,77;
2016-Q3;102,25;
2016-Q4;103,04;
2017-Q1;103,31;
2017-Q2;104,16;
2017-Q3;104,06;
2017-Q4;104,95;
2018-Q1;105,15;
2018-Q2;105,49;
2018-Q3;105,38;
2018-Q4;106,35;
2019-Q1;106,88;
2019-Q2;107,21;
2019-Q3;107,76;
2019-Q4;107,73;
2020-Q1;103,26;
2020-Q2;92,30;
2020-Q3;102,95;
2020-Q4;100,89;
2021-Q1;97,31;
2021-Q2;99,81;
2021-Q3;104,66;
2021-Q4;105,37;
2022-Q1;108,26;
2022-Q2;108,49;
2022-Q3;109,29;
2022-Q4;107,76;
2023-Q1;107,58;
2023-Q2;108,55;
2023-Q3;107,88;
2023-Q4;107,79;
2024-Q1;108,18;
2024-Q2;108,31;
2024-Q3;108,53;
2024-Q4;108,98;
2025-Q1;109,89;
2025-Q2;110,28;
2025-Q3;110,32;
2025-Q4;110,89;
