"";BBNZ1.Q.DE.S.G.0325.A;BBNZ1.Q.DE.S.G.0325.A_FLAGS
"";Deutschland / Konto der privaten Haushalte / Verfügbares Einkommen inkl. Zunahme betrieblicher Versorgungsansprüche / In jeweiligen Preisen / nur saisonbereinigt;
Dezimalstellen;3;
Dimension;Milliarden;
Einheit;Euro;
Format der Zeitangabe;P3M;
Kategorie;GRVG;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Summe;
Stand vom;25.02.2026 08:08:30 Uhr;
1991-Q1;248,068;
1991-Q2;256,058;
1991-Q3;253,775;
1991-Q4;262,593;
1992-Q1;269,581;
1992-Q2;272,028;
1992-Q3;275,105;
1992-Q4;278,742;
1993-Q1;279,676;
1993-Q2;283,022;
1993-Q3;283,378;
1993-Q4;288,239;
1994-Q1;290,148;
1994-Q2;290,083;
1994-Q3;293,151;
1994-Q4;295,740;
1995-Q1;295,550;
1995-Q2;298,819;
1995-Q3;300,594;
1995-Q4;301,260;
1996-Q1;304,424;
1996-Q2;303,875;
1996-Q3;305,063;
1996-Q4;305,351;
1997-Q1;306,094;
1997-Q2;308,600;
1997-Q3;310,608;
1997-Q4;312,319;
1998-Q1;312,504;
1998-Q2;312,150;
1998-Q3;315,260;
1998-Q4;318,336;
1999-Q1;320,508;
1999-Q2;322,429;
1999-Q3;324,378;
1999-Q4;328,728;
2000-Q1;331,155;
2000-Q2;331,541;
2000-Q3;332,438;
2000-Q4;333,575;
2001-Q1;344,167;
2001-Q2;343,194;
2001-Q3;344,588;
2001-Q4;349,039;
2002-Q1;345,676;
2002-Q2;345,192;
2002-Q3;350,286;
2002-Q4;351,583;
2003-Q1;357,921;
2003-Q2;356,098;
2003-Q3;360,312;
2003-Q4;358,806;
2004-Q1;364,491;
2004-Q2;363,696;
2004-Q3;364,300;
2004-Q4;367,753;
2005-Q1;368,432;
2005-Q2;372,519;
2005-Q3;373,664;
2005-Q4;376,840;
2006-Q1;379,629;
2006-Q2;381,904;
2006-Q3;382,820;
2006-Q4;388,369;
2007-Q1;388,477;
2007-Q2;388,708;
2007-Q3;389,529;
2007-Q4;394,713;
2008-Q1;398,782;
2008-Q2;403,041;
2008-Q3;403,071;
2008-Q4;393,400;
2009-Q1;395,137;
2009-Q2;398,704;
2009-Q3;398,563;
2009-Q4;400,414;
2010-Q1;400,074;
2010-Q2;404,682;
2010-Q3;408,844;
2010-Q4;413,181;
2011-Q1;412,404;
2011-Q2;419,119;
2011-Q3;420,608;
2011-Q4;423,528;
2012-Q1;430,805;
2012-Q2;426,640;
2012-Q3;428,936;
2012-Q4;428,307;
2013-Q1;428,286;
2013-Q2;434,092;
2013-Q3;437,525;
2013-Q4;435,321;
2014-Q1;440,033;
2014-Q2;443,865;
2014-Q3;448,747;
2014-Q4;450,946;
2015-Q1;449,861;
2015-Q2;458,257;
2015-Q3;462,501;
2015-Q4;466,699;
2016-Q1;464,784;
2016-Q2;471,891;
2016-Q3;473,469;
2016-Q4;478,524;
2017-Q1;483,790;
2017-Q2;488,643;
2017-Q3;490,716;
2017-Q4;494,783;
2018-Q1;502,735;
2018-Q2;507,213;
2018-Q3;508,435;
2018-Q4;513,252;
2019-Q1;514,009;
2019-Q2;519,805;
2019-Q3;525,212;
2019-Q4;524,576;
2020-Q1;521,494;
2020-Q2;508,894;
2020-Q3;522,855;
2020-Q4;529,423;
2021-Q1;530,552;
2021-Q2;534,756;
2021-Q3;531,112;
2021-Q4;550,329;
2022-Q1;564,255;
2022-Q2;577,955;
2022-Q3;589,985;
2022-Q4;601,332;
2023-Q1;607,899;
2023-Q2;621,459;
2023-Q3;620,758;
2023-Q4;625,813;
2024-Q1;634,706;
2024-Q2;640,933;
2024-Q3;647,141;
2024-Q4;649,552;
2025-Q1;651,768;
2025-Q2;659,600;
2025-Q3;668,055;
2025-Q4;670,867;
