"";BBDL1.M.DE.Y.EMP.EAA000.A0000.A00.D10.0.ABA.A;BBDL1.M.DE.Y.EMP.EAA000.A0000.A00.D10.0.ABA.A_FLAGS
"";Erwerbstätige gemäß ESVG 2010 / Deutschland / Inlandskonzept / absolute Angabe / kalender- und saisonbereinigt;
Dezimalstellen;0;
Dimension;Tausend;
Einheit;Anzahl;
Format der Zeitangabe;P1M;
Kategorie;KPBA;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts.;
Umrechnungsart;Durchschnitt;
Stand vom;31.03.2026 10:05:35 Uhr;
1991-01;39312;
1991-02;39188;
1991-03;39064;
1991-04;39056;
1991-05;39020;
1991-06;38924;
1991-07;38790;
1991-08;38630;
1991-09;38580;
1991-10;38635;
1991-11;38650;
1991-12;38630;
1992-01;38606;
1992-02;38576;
1992-03;38530;
1992-04;38499;
1992-05;38471;
1992-06;38431;
1992-07;38368;
1992-08;38294;
1992-09;38224;
1992-10;38160;
1992-11;38111;
1992-12;38076;
1993-01;38089;
1993-02;38061;
1993-03;38005;
1993-04;37946;
1993-05;37871;
1993-06;37840;
1993-07;37804;
1993-08;37779;
1993-09;37770;
1993-10;37729;
1993-11;37718;
1993-12;37748;
1994-01;37819;
1994-02;37859;
1994-03;37835;
1994-04;37797;
1994-05;37823;
1994-06;37840;
1994-07;37835;
1994-08;37891;
1994-09;37929;
1994-10;37949;
1994-11;37968;
1994-12;37992;
1995-01;37990;
1995-02;38000;
1995-03;38021;
1995-04;38064;
1995-05;38008;
1995-06;38021;
1995-07;38037;
1995-08;38031;
1995-09;38040;
1995-10;38092;
1995-11;38089;
1995-12;38117;
1996-01;38080;
1996-02;38063;
1996-03;38007;
1996-04;38090;
1996-05;38147;
1996-06;38107;
1996-07;38098;
1996-08;38057;
1996-09;38026;
1996-10;38004;
1996-11;38021;
1996-12;38014;
1997-01;37915;
1997-02;37958;
1997-03;37984;
1997-04;38009;
1997-05;38020;
1997-06;38040;
1997-07;38066;
1997-08;38118;
1997-09;38094;
1997-10;38115;
1997-11;38115;
1997-12;38080;
1998-01;38102;
1998-02;38173;
1998-03;38249;
1998-04;38325;
1998-05;38392;
1998-06;38460;
1998-07;38537;
1998-08;38643;
1998-09;38716;
1998-10;38776;
1998-11;38791;
1998-12;38816;
1999-01;38860;
1999-02;38883;
1999-03;38899;
1999-04;38752;
1999-05;38876;
1999-06;39074;
1999-07;39154;
1999-08;39270;
1999-09;39311;
1999-10;39356;
1999-11;39443;
1999-12;39610;
2000-01;39775;
2000-02;39856;
2000-03;39926;
2000-04;39952;
2000-05;39981;
2000-06;40022;
2000-07;40027;
2000-08;40044;
2000-09;40033;
2000-10;40027;
2000-11;40030;
2000-12;40037;
2001-01;39944;
2001-02;39930;
2001-03;39912;
2001-04;39922;
2001-05;39924;
2001-06;39867;
2001-07;39827;
2001-08;39816;
2001-09;39784;
2001-10;39798;
2001-11;39821;
2001-12;39836;
2002-01;39859;
2002-02;39842;
2002-03;39817;
2002-04;39828;
2002-05;39776;
2002-06;39686;
2002-07;39683;
2002-08;39602;
2002-09;39568;
2002-10;39519;
2002-11;39469;
2002-12;39439;
2003-01;39392;
2003-02;39383;
2003-03;39308;
2003-04;39207;
2003-05;39150;
2003-06;39218;
2003-07;39258;
2003-08;39198;
2003-09;39186;
2003-10;39215;
2003-11;39202;
2003-12;39225;
2004-01;39299;
2004-02;39316;
2004-03;39370;
2004-04;39437;
2004-05;39400;
2004-06;39410;
2004-07;39382;
2004-08;39376;
2004-09;39386;
2004-10;39369;
2004-11;39361;
2004-12;39325;
2005-01;39274;
2005-02;39274;
2005-03;39239;
2005-04;39226;
2005-05;39232;
2005-06;39274;
2005-07;39271;
2005-08;39339;
2005-09;39397;
2005-10;39413;
2005-11;39455;
2005-12;39464;
2006-01;39282;
2006-02;39298;
2006-03;39313;
2006-04;39406;
2006-05;39539;
2006-06;39646;
2006-07;39707;
2006-08;39737;
2006-09;39754;
2006-10;39772;
2006-11;39874;
2006-12;39959;
2007-01;40032;
2007-02;40077;
2007-03;40115;
2007-04;40189;
2007-05;40227;
2007-06;40244;
2007-07;40308;
2007-08;40354;
2007-09;40369;
2007-10;40452;
2007-11;40497;
2007-12;40519;
