"";BBDL1.M.DE.Y.EMP.EBA000.A0000.A00.D00.0.ABA.A;BBDL1.M.DE.Y.EMP.EBA000.A0000.A00.D00.0.ABA.A_FLAGS
"";Sozialversicherungspflichtig Beschäftigte / Deutschland / Insgesamt / absolute Angabe / kalender- und saisonbereinigt;
Dezimalstellen;0;
Dimension;Tausend;
Einheit;Anzahl;
Format der Zeitangabe;P1M;
Kategorie;KPBA;
Quelle;Saisonbereinigung basierend auf Ursprungswerten der Bundesagentur für Arbeit.;
Umrechnungsart;Endstand (letzter Wert);
Stand vom;31.03.2026 10:05:36 Uhr;
1999-06;27476;
1999-07;27445;
1999-08;27477;
1999-09;27537;
1999-10;27557;
1999-11;27651;
1999-12;27698;
2000-01;27730;
2000-02;27774;
2000-03;27807;
2000-04;27833;
2000-05;27900;
2000-06;27900;
2000-07;27940;
2000-08;27985;
2000-09;27939;
2000-10;27934;
2000-11;27957;
2000-12;27965;
2001-01;27892;
2001-02;27908;
2001-03;27918;
2001-04;27967;
2001-05;27987;
2001-06;27858;
2001-07;27833;
2001-08;27815;
2001-09;27723;
2001-10;27880;
2001-11;27878;
2001-12;27874;
2002-01;27918;
2002-02;27913;
2002-03;27856;
2002-04;27842;
2002-05;27798;
2002-06;27715;
2002-07;27726;
2002-08;27664;
2002-09;27585;
2002-10;27500;
2002-11;27423;
2002-12;27373;
2003-01;27343;
2003-02;27273;
2003-03;27197;
2003-04;27115;
2003-05;27031;
2003-06;26999;
2003-07;26929;
2003-08;26824;
2003-09;26811;
2003-10;26760;
2003-11;26711;
2003-12;26676;
2004-01;26661;
2004-02;26618;
2004-03;26646;
2004-04;26624;
2004-05;26587;
2004-06;26591;
2004-07;26550;
2004-08;26572;
2004-09;26624;
2004-10;26531;
2004-11;26501;
2004-12;26460;
2005-01;26358;
2005-02;26321;
2005-03;26303;
2005-04;26329;
2005-05;26332;
2005-06;26341;
2005-07;26323;
2005-08;26348;
2005-09;26371;
2005-10;26369;
2005-11;26399;
2005-12;26375;
2006-01;26294;
2006-02;26306;
2006-03;26338;
2006-04;26437;
2006-05;26543;
2006-06;26578;
2006-07;26617;
2006-08;26632;
2006-09;26653;
2006-10;26692;
2006-11;26752;
2006-12;26788;
2007-01;26894;
2007-02;26948;
2007-03;26979;
2007-04;27037;
2007-05;27074;
2007-06;27101;
2007-07;27174;
2007-08;27236;
2007-09;27280;
2007-10;27365;
2007-11;27406;
2007-12;27450;
2008-01;27567;
2008-02;27640;
2008-03;27666;
2008-04;27692;
2008-05;27708;
2008-06;27752;
2008-07;27801;
2008-08;27821;
2008-09;27875;
2008-10;27902;
2008-11;27883;
2008-12;27893;
2009-01;27862;
2009-02;27830;
2009-03;27772;
2009-04;27721;
2009-05;27669;
2009-06;27663;
2009-07;27659;
2009-08;27671;
2009-09;27682;
2009-10;27682;
2009-11;27730;
2009-12;27769;
2010-01;27757;
2010-02;27762;
2010-03;27840;
2010-04;27914;
2010-05;27977;
2010-06;28028;
2010-07;28064;
2010-08;28124;
2010-09;28162;
2010-10;28194;
2010-11;28251;
2010-12;28299;
2011-01;28348;
2011-02;28432;
2011-03;28508;
2011-04;28560;
2011-05;28646;
2011-06;28704;
2011-07;28739;
2011-08;28818;
2011-09;28873;
2011-10;28942;
2011-11;29002;
2011-12;29064;
2012-01;29159;
2012-02;29189;
2012-03;29251;
2012-04;29283;
2012-05;29320;
2012-06;29339;
2012-07;29393;
2012-08;29414;
2012-09;29412;
2012-10;29497;
2012-11;29540;
2012-12;29558;
2013-01;29575;
2013-02;29601;
2013-03;29579;
2013-04;29637;
2013-05;29667;
2013-06;29673;
2013-07;29735;
2013-08;29788;
2013-09;29828;
2013-10;29861;
2013-11;29889;
2013-12;29921;
2014-01;29974;
2014-02;30025;
2014-03;30077;
2014-04;30131;
2014-05;30158;
2014-06;30232;
2014-07;30264;
2014-08;30263;
2014-09;30331;
2014-10;30364;
2014-11;30379;
2014-12;30434;
2015-01;30508;
2015-02;30571;
2015-03;30659;
2015-04;30715;
2015-05;30755;
2015-06;30831;
2015-07;30896;
2015-08;30945;
2015-09;31008;
2015-10;31063;
2015-11;31130;
2015-12;31181;
2016-01;31207;
2016-02;31286;
2016-03;31334;
2016-04;31384;
2016-05;31450;
2016-06;31509;
2016-07;31540;
2016-08;31635;
2016-09;31691;
2016-10;31745;
2016-11;31807;
2016-12;31871;
2017-01;31918;
2017-02;31979;
2017-03;32053;
2017-04;32084;
2017-05;32174;
2017-06;32239;
2017-07;32303;
2017-08;32361;
2017-09;32425;
2017-10;32481;
2017-11;32562;
2017-12;32619;
2018-01;32701;
2018-02;32746;
2018-03;32780;
2018-04;32855;
2018-05;32903;
2018-06;32953;
2018-07;33031;
2018-08;33103;
2018-09;33125;
2018-10;33196;
2018-11;33241;
2018-12;33283;
2019-01;33336;
2019-02;33383;
2019-03;33402;
2019-04;33458;
2019-05;33483;
2019-06;33495;
2019-07;33558;
2019-08;33592;
2019-09;33649;
2019-10;33679;
2019-11;33696;
2019-12;33726;
2020-01;33775;
2020-02;33796;
2020-03;33757;
2020-04;33506;
2020-05;33382;
2020-06;33411;
2020-07;33436;
2020-08;33475;
2020-09;33514;
2020-10;33585;
2020-11;33633;
2020-12;33677;
2021-01;33671;
2021-02;33679;
2021-03;33736;
2021-04;33766;
2021-05;33802;
2021-06;33891;
2021-07;33944;
2021-08;33997;
2021-09;34048;
2021-10;34095;
2021-11;34184;
2021-12;34253;
2022-01;34328;
2022-02;34393;
2022-03;34428;
2022-04;34447;
2022-05;34503;
2022-06;34533;
2022-07;34540;
2022-08;34583;
2022-09;34626;
2022-10;34622;
2022-11;34635;
2022-12;34668;
2023-01;34700;
2023-02;34744;
2023-03;34771;
2023-04;34763;
2023-05;34786;
2023-06;34797;
2023-07;34802;
2023-08;34823;
2023-09;34819;
2023-10;34845;
2023-11;34867;
2023-12;34874;
2024-01;34905;
2024-02;34908;
2024-03;34900;
2024-04;34940;
2024-05;34945;
2024-06;34925;
2024-07;34946;
2024-08;34943;
2024-09;34952;
2024-10;34963;
2024-11;34966;
2024-12;34974;
2025-01;34973;
2025-02;34980;
2025-03;34979;
2025-04;34981;
2025-05;34961;
2025-06;34975;
2025-07;34976;
2025-08;34946;
2025-09;34950;
2025-10;34949;Geschätzter Wert
2025-11;34929;Geschätzter Wert
2025-12;34932;Geschätzter Wert
2026-01;34902;Geschätzter Wert
