"";BBDP1.M.DE.Y.APA1.G.GP19SA000000.I21.A;BBDP1.M.DE.Y.APA1.G.GP19SA000000.I21.A_FLAGS
"";Außenhandelspreise Ausfuhr Insgesamt / Deutschland / kalender- und saisonbereinigt / Insgesamt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2021=100;
Format der Zeitangabe;P1M;
Kategorie;KPAP;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;31.03.2026 08:12:09 Uhr;
1970-01;37,9;
1970-02;38,0;
1970-03;38,0;
1970-04;38,0;
1970-05;38,1;
1970-06;38,2;
1970-07;38,4;
1970-08;38,5;
1970-09;38,6;
1970-10;39,1;
1970-11;39,3;
1970-12;39,3;
1971-01;39,3;
1971-02;39,4;
1971-03;39,4;
1971-04;39,5;
1971-05;39,5;
1971-06;39,6;
1971-07;39,7;
1971-08;39,9;
1971-09;39,9;
1971-10;39,9;
1971-11;40,0;
1971-12;40,0;
1972-01;39,9;
1972-02;39,9;
1972-03;40,0;
1972-04;40,0;
1972-05;40,2;
1972-06;40,3;
1972-07;40,5;
1972-08;40,7;
1972-09;41,0;
1972-10;41,2;
1972-11;41,3;
1972-12;41,5;
1973-01;41,8;
1973-02;42,0;
1973-03;42,0;
1973-04;42,4;
1973-05;42,7;
1973-06;42,9;
1973-07;43,2;
1973-08;43,4;
1973-09;43,7;
1973-10;44,0;
1973-11;44,8;
1973-12;45,5;
1974-01;47,1;
1974-02;48,2;
1974-03;49,0;
1974-04;49,5;
1974-05;49,8;
1974-06;50,5;
1974-07;51,3;
1974-08;51,6;
1974-09;51,9;
1974-10;52,2;
1974-11;52,3;
1974-12;52,3;
1975-01;52,1;
1975-02;51,9;
1975-03;52,0;
1975-04;51,9;
1975-05;52,0;
1975-06;52,1;
1975-07;52,3;
1975-08;52,4;
1975-09;52,5;
1975-10;52,9;
1975-11;53,0;
1975-12;53,2;
1976-01;53,6;
1976-02;53,6;
1976-03;53,7;
1976-04;53,8;
1976-05;54,2;
1976-06;54,5;
1976-07;54,7;
1976-08;55,0;
1976-09;55,1;
1976-10;55,1;
1976-11;55,1;
1976-12;55,3;
1977-01;54,9;
1977-02;55,1;
1977-03;55,3;
1977-04;55,5;
1977-05;55,4;
1977-06;55,6;
1977-07;55,6;
1977-08;55,5;
1977-09;55,6;
1977-10;55,7;
1977-11;55,8;
1977-12;55,7;
1978-01;55,7;
1978-02;55,8;
1978-03;55,7;
1978-04;55,9;
1978-05;56,1;
1978-06;56,3;
1978-07;56,4;
1978-08;56,5;
