"";BBNZ1.Q.DE.S.G.0001.A;BBNZ1.Q.DE.S.G.0001.A_FLAGS
"";Deutschland / Gesamtwirtschaftliche Übersicht / Bruttonationaleinkommen / In jeweiligen Preisen / nur saisonbereinigt;
Dezimalstellen;3;
Dimension;Milliarden;
Einheit;Euro;
Format der Zeitangabe;P3M;
Kategorie;GRVG;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Summe;
Stand vom;25.02.2026 08:08:29 Uhr;
1991-Q1;392,696;
1991-Q2;400,810;
1991-Q3;402,853;
1991-Q4;411,060;
1992-Q1;427,728;
1992-Q2;428,674;
1992-Q3;434,099;
1992-Q4;434,479;
1993-Q1;435,087;
1993-Q2;442,292;
1993-Q3;444,683;
1993-Q4;446,621;
1994-Q1;454,859;
1994-Q2;457,101;
1994-Q3;461,394;
1994-Q4;465,684;
1995-Q1;471,073;
1995-Q2;473,249;
1995-Q3;475,412;
1995-Q4;477,626;
1996-Q1;478,564;
1996-Q2;479,259;
1996-Q3;482,217;
1996-Q4;488,750;
1997-Q1;479,139;
1997-Q2;491,858;
1997-Q3;494,318;
1997-Q4;498,026;
1998-Q1;499,771;
1998-Q2;498,058;
1998-Q3;504,082;
1998-Q4;508,779;
1999-Q1;508,891;
1999-Q2;513,749;
1999-Q3;517,913;
1999-Q4;521,590;
2000-Q1;530,525;
2000-Q2;528,712;
2000-Q3;526,321;
2000-Q4;531,431;
2001-Q1;543,576;
2001-Q2;542,511;
2001-Q3;543,602;
2001-Q4;549,892;
2002-Q1;542,381;
2002-Q2;548,775;
2002-Q3;555,557;
2002-Q4;553,246;
2003-Q1;548,133;
2003-Q2;549,320;
2003-Q3;559,859;
2003-Q4;560,457;
2004-Q1;570,027;
2004-Q2;577,753;
2004-Q3;577,741;
2004-Q4;581,333;
2005-Q1;574,453;
2005-Q2;589,503;
2005-Q3;588,018;
2005-Q4;592,742;
2006-Q1;604,393;
2006-Q2;613,978;
2006-Q3;618,102;
2006-Q4;630,370;
2007-Q1;640,940;
2007-Q2;640,952;
2007-Q3;644,842;
2007-Q4;652,132;
2008-Q1;653,228;
2008-Q2;660,743;
2008-Q3;654,519;
2008-Q4;645,509;
2009-Q1;627,161;
2009-Q2;629,084;
2009-Q3;642,202;
2009-Q4;651,475;
2010-Q1;649,329;
2010-Q2;662,073;
2010-Q3;672,671;
2010-Q4;683,707;
2011-Q1;695,934;
2011-Q2;700,652;
2011-Q3;709,796;
2011-Q4;711,188;
2012-Q1;716,336;
2012-Q2;712,662;
2012-Q3;717,813;
2012-Q4;720,111;
2013-Q1;717,240;
2013-Q2;735,339;
2013-Q3;739,250;
2013-Q4;741,985;
2014-Q1;751,311;
2014-Q2;756,820;
2014-Q3;766,510;
2014-Q4;772,476;
2015-Q1;773,958;
2015-Q2;779,693;
2015-Q3;794,204;
2015-Q4;800,057;
2016-Q1;809,948;
2016-Q2;824,632;
2016-Q3;822,275;
2016-Q4;830,027;
2017-Q1;843,703;
2017-Q2;846,524;
2017-Q3;858,514;
2017-Q4;869,110;
2018-Q1;881,702;
2018-Q2;892,590;
2018-Q3;890,614;
2018-Q4;904,195;
2019-Q1;909,885;
2019-Q2;911,939;
2019-Q3;924,380;
2019-Q4;922,016;
2020-Q1;908,160;
2020-Q2;828,949;
2020-Q3;889,343;
2020-Q4;911,934;
2021-Q1;918,892;
2021-Q2;940,083;
2021-Q3;963,746;
2021-Q4;982,749;
2022-Q1;1007,406;
2022-Q2;1018,744;
2022-Q3;1031,378;
2022-Q4;1051,101;
2023-Q1;1076,435;
2023-Q2;1082,816;
2023-Q3;1092,412;
2023-Q4;1104,322;
2024-Q1;1111,861;
2024-Q2;1121,624;
2024-Q3;1119,661;
2024-Q4;1124,955;
2025-Q1;1142,410;
2025-Q2;1156,745;
2025-Q3;1161,055;
2025-Q4;1171,514;
