"";BBDP1.M.DE.Y.HVPI.C.A00000.I.A;BBDP1.M.DE.Y.HVPI.C.A00000.I.A_FLAGS
"";Harmonisierter Verbraucherpreisindex / Deutschland / kalender- und saisonbereinigt / Insgesamt / Angepasst an die Jahresmittel der kalenderbereinigten Reihe;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2025=100;
Format der Zeitangabe;P1M;
Kategorie;KPHV;
Quelle;Eigene Berechnung auf Basis von Angaben des Statistischen Bundesamtes.;
Umrechnungsart;Durchschnitt;
Stand vom;10.04.2026 08:07:17 Uhr;
1997-01;58,1;
1997-02;58,0;
1997-03;58,1;
1997-04;58,0;
1997-05;58,1;
1997-06;58,1;
1997-07;58,2;
1997-08;58,4;
1997-09;58,5;
1997-10;58,5;
1997-11;58,5;
1997-12;58,6;
1998-01;58,5;
1998-02;58,4;
1998-03;58,4;
1998-04;58,5;
1998-05;58,7;
1998-06;58,7;
1998-07;58,7;
1998-08;58,7;
1998-09;58,8;
1998-10;58,7;
1998-11;58,7;
1998-12;58,6;
1999-01;58,6;
1999-02;58,5;
1999-03;58,6;
1999-04;59,0;
1999-05;58,9;
1999-06;58,9;
1999-07;59,1;
1999-08;59,1;
1999-09;59,2;
1999-10;59,2;
1999-11;59,4;
1999-12;59,5;
2000-01;59,6;
2000-02;59,5;
2000-03;59,6;
2000-04;59,5;
2000-05;59,5;
2000-06;59,7;
2000-07;59,8;
2000-08;59,8;
2000-09;60,1;
2000-10;60,1;
2000-11;60,2;
2000-12;60,2;
2001-01;60,3;
2001-02;60,6;
2001-03;60,6;
2001-04;60,9;
2001-05;61,1;
2001-06;61,2;
2001-07;61,1;
2001-08;61,1;
2001-09;61,2;
2001-10;61,1;
2001-11;61,1;
2001-12;61,1;
2002-01;61,6;
2002-02;61,6;
2002-03;61,7;
2002-04;61,9;
2002-05;61,8;
2002-06;61,7;
2002-07;61,8;
2002-08;61,7;
2002-09;61,8;
2002-10;61,8;
2002-11;61,7;
2002-12;61,7;
2003-01;62,2;
2003-02;62,4;
2003-03;62,5;
2003-04;62,3;
2003-05;62,2;
2003-06;62,3;
2003-07;62,3;
2003-08;62,4;
2003-09;62,5;
2003-10;62,5;
2003-11;62,6;
2003-12;62,5;
2004-01;62,9;
2004-02;62,9;
2004-03;63,2;
2004-04;63,5;
2004-05;63,6;
2004-06;63,5;
2004-07;63,6;
2004-08;63,7;
2004-09;63,7;
2004-10;63,9;
2004-11;63,7;
2004-12;64,0;
2005-01;64,1;
2005-02;64,1;
2005-03;64,3;
2005-04;64,4;
2005-05;64,4;
2005-06;64,6;
2005-07;64,7;
2005-08;64,9;
2005-09;65,3;
2005-10;65,4;
2005-11;65,3;
2005-12;65,4;
2006-01;65,5;
2006-02;65,6;
2006-03;65,6;
2006-04;65,7;
2006-05;65,9;
2006-06;66,0;
2006-07;66,1;
2006-08;66,1;
2006-09;65,9;
2006-10;66,1;
