ifo Geschäftsklima Deutschland und seine Komponenten;;;;;;;;
(seit Januar 2005);;;;;;;;
Lange Zeitreihen für das ifo Geschäftsklima Deutschland;;;;;;;;
und seine beiden Komponenten Geschäftslage und -erwartungen ;;;;;;;;
;;;;;;;;
;Deutschland;;;;;;;
;Indexwerte, 2015 = 100, saisonbereinigt;;;Salden, saisonbereinigt;;;ifo Geschäftsunsicherheit;ifo Konjunkturampel
Monat/Jahr; Geschäftsklima;Geschäftslage;Geschäftserwartungen; Geschäftsklima;Geschäftslage;Geschäftserwartungen;Ursprungswerte ab 04/2019;Wahrscheinlichkeit für eine expansive Entwicklung in %
;;;;;;;;
 01/2005;92,2;87,5;97,2;1,5;-0,7;3,8;;83,1
 02/2005;92,0;88,0;96,2;1,1;0,5;1,6;;50,4
 03/2005;90,1;85,8;94,5;-3,1;-4,4;-1,8;;4,9
 04/2005;89,9;86,2;93,7;-3,6;-3,7;-3,5;;18,7
 05/2005;89,3;86,1;92,7;-4,8;-3,9;-5,6;;11,7
 06/2005;89,3;85,6;93,2;-4,7;-4,9;-4,5;;32,1
 07/2005;91,1;85,8;96,8;-0,8;-4,6;3,0;;91,2
 08/2005;92,0;86,7;97,6;1,2;-2,4;4,8;;96,0
 09/2005;92,9;88,4;97,7;3,1;1,3;4,9;;96,7
 10/2005;94,4;88,8;100,4;6,4;2,3;10,5;;99,4
 11/2005;94,9;90,8;99,3;7,5;6,8;8,2;;96,7
 12/2005;95,0;90,4;100,0;7,7;5,9;9,6;;91,1
 01/2006;96,5;91,9;101,5;11,0;9,3;12,8;;98,2
 02/2006;97,7;93,3;102,3;13,6;12,6;14,5;;98,9
 03/2006;98,1;94,2;102,1;14,4;14,6;14,2;;95,3
 04/2006;97,9;94,1;101,8;14,0;14,5;13,5;;91,4
 05/2006;98,9;97,0;100,8;16,1;20,9;11,4;;97,1
 06/2006;99,0;96,8;101,4;16,5;20,5;12,6;;94,5
 07/2006;98,8;97,5;100,2;16,0;22,0;10,1;;79,2
 08/2006;98,7;97,3;100,1;15,7;21,6;9,8;;75,3
 09/2006;99,1;98,0;100,1;16,5;23,3;9,9;;85,2
 10/2006;99,4;98,9;100,0;17,3;25,3;9,6;;90,0
 11/2006;100,8;100,0;101,6;20,4;27,9;13,1;;98,0
 12/2006;101,8;101,3;102,3;22,5;30,9;14,5;;98,0
 01/2007;101,5;100,1;102,9;21,8;28,2;15,7;;87,7
 02/2007;100,1;98,8;101,3;18,7;25,2;12,5;;26,4
 03/2007;100,7;99,9;101,6;20,2;27,6;13,0;;62,9
 04/2007;101,0;100,7;101,3;20,8;29,4;12,5;;85,4
 05/2007;101,1;100,5;101,8;21,1;29,0;13,5;;88,6
 06/2007;99,9;98,9;100,9;18,4;25,4;11,7;;45,7
 07/2007;100,2;99,2;101,1;18,9;26,0;12,1;;51,9
 08/2007;99,8;99,1;100,6;18,2;25,7;11,0;;41,0
 09/2007;99,3;98,9;99,7;17,0;25,3;9,0;;29,3
 10/2007;99,9;99,7;100,0;18,3;27,2;9,7;;57,8
 11/2007;98,7;98,7;98,7;15,8;24,9;7,0;;16,7
 12/2007;98,8;97,8;99,8;16,0;22,9;9,4;;21,3
 01/2008;98,2;98,8;97,6;14,6;25,0;4,7;;19,2
 02/2008;98,2;98,8;97,5;14,5;25,2;4,4;;26,1
 03/2008;98,1;99,0;97,3;14,5;25,7;4,0;;31,8
 04/2008;97,0;98,4;95,7;12,1;24,2;0,6;;26,2
 05/2008;96,8;97,9;95,6;11,5;23,1;0,5;;17,4
 06/2008;95,7;97,0;94,3;9,1;21,1;-2,2;;7,2
