ifo Beschäftigungsbarometer;;;;;;;
(seit Januar 2002);;;;;;;
Lange Zeitreihen für das ifo Beschäftigungsbarometer für Deutschland;;;;;;;
;;;;;;;
Quelle: ifo Institut;;;;;;;
;;;;;;;
Indexwerte, 2015 = 100, saisonbereinigt;;;;;;;
;;;;;;;
Monat, Jahr;;Verarbeitendes Gewerbe;Bauhauptgewerbe;Handel;Dienstleistungssektor;;
1/2002;91,9;-23,7;-45,4;-21,6;2,0;;
2/2002;92,1;-21,5;-37,2;-22,9;1,5;;
3/2002;92,5;-22,1;-34,4;-19,9;1,9;;
4/2002;92,0;-19,4;-38,3;-22,9;0,1;;
5/2002;92,1;-20,2;-36,8;-22,6;0,8;;
6/2002;90,8;-19,3;-35,6;-25,8;-3,8;;
7/2002;89,9;-18,3;-37,2;-27,0;-7,0;;
8/2002;89,5;-19,5;-35,9;-26,8;-8,3;;
9/2002;91,0;-19,5;-32,7;-27,8;-2,7;;
10/2002;88,7;-21,2;-36,5;-28,7;-9,8;;
11/2002;89,9;-20,8;-40,8;-30,4;-4,8;;
12/2002;89,2;-22,5;-44,8;-34,6;-4,8;;
1/2003;89,9;-21,7;-46,2;-32,6;-3,0;;
2/2003;88,8;-19,5;-40,6;-32,9;-8,6;;
3/2003;89,7;-21,0;-39,8;-28,9;-5,7;;
4/2003;90,7;-19,2;-35,6;-26,9;-3,8;;
5/2003;88,4;-23,2;-36,4;-25,6;-11,2;;
6/2003;89,1;-22,4;-36,7;-25,8;-8,8;;
7/2003;90,3;-22,3;-37,1;-27,0;-4,0;;
8/2003;92,1;-19,6;-35,3;-23,8;0,7;;
9/2003;92,3;-19,7;-33,8;-20,8;0,3;;
10/2003;91,7;-18,5;-37,6;-21,7;-1,8;;
11/2003;92,6;-17,9;-35,4;-18,4;0,2;;
12/2003;92,0;-19,2;-39,2;-18,6;-0,8;;
1/2004;91,0;-17,7;-33,4;-16,6;-6,3;;
2/2004;92,0;-17,5;-31,9;-16,9;-3,0;;
3/2004;91,1;-17,8;-33,0;-17,9;-5,8;;
4/2004;91,4;-16,0;-32,6;-16,9;-5,8;;
5/2004;93,1;-15,3;-35,0;-14,6;-0,2;;
6/2004;91,9;-15,5;-32,8;-17,8;-3,8;;
7/2004;92,2;-15,3;-34,1;-17,0;-3,0;;
8/2004;92,4;-14,7;-35,6;-16,8;-2,3;;
9/2004;92,6;-12,7;-38,6;-14,8;-2,7;;
10/2004;93,4;-13,7;-37,9;-16,7;1,2;;
11/2004;93,2;-12,8;-36,0;-17,4;0,2;;
12/2004;92,8;-15,1;-39,4;-14,6;-0,8;;
1/2005;92,6;-15,6;-36,1;-13,6;-2,0;;
2/2005;93,1;-15,6;-36,1;-15,9;0,6;;
3/2005;92,5;-17,6;-35,0;-16,9;-0,7;;
4/2005;91,5;-17,9;-30,0;-14,9;-5,4;;
5/2005;92,7;-17,4;-28,3;-14,6;-1,4;;
6/2005;92,1;-15,6;-28,8;-12,8;-4,9;;
7/2005;93,3;-15,4;-28,2;-16,0;0,4;;
8/2005;92,0;-14,7;-27,5;-13,8;-5,4;;
9/2005;93,9;-12,8;-22,9;-11,8;-0,3;;
10/2005;94,9;-10,9;-23,4;-10,7;2,4;;
11/2005;93,7;-12,7;-25,3;-13,4;-0,2;;
12/2005;94,8;-11,0;-29,1;-10,6;2,7;;
1/2006;96,5;-10,5;-21,3;-6,6;7,0;;
2/2006;97,8;-9,6;-11,4;-3,9;9,6;;
3/2006;97,4;-7,5;-9,7;-7,9;8,3;;
4/2006;98,4;-7,8;-8,7;-3,9;10,6;;
5/2006;97,9;-7,5;-8,3;-7,6;9,6;;
6/2006;98,6;-5,6;-10,7;-4,8;11,1;;
7/2006;97,9;-5,4;-8,4;-6,0;8,4;;
8/2006;97,2;-3,7;-7,3;-4,8;4,6;;
9/2006;99,0;-1,6;-8,1;-1,8;9,7;;
10/2006;99,2;-0,1;-8,2;-0,7;9,4;;
11/2006;100,3;1,5;-7,0;-0,4;12,8;;
12/2006;100,4;3,2;-6,3;1,4;11,7;;
1/2007;100,6;5,5;-5,3;3,4;11,0;;
2/2007;100,6;4,4;-7,8;0,1;12,6;;
