"";BBNZ1.Q.DE.Y.H.0111.A;BBNZ1.Q.DE.Y.H.0111.A_FLAGS
"";Deutschland / Verwendung des Bruttoinlandsprodukts / Importe von Waren und Dienstleistungen / In verketteten Vorjahrespreisen (Kettenindex) / kalender- und saisonbereinigt;
Dezimalstellen;2;
Dimension;Eins;
Einheit;2020=100;
Format der Zeitangabe;P3M;
Kategorie;GRVG;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;25.02.2026 08:08:57 Uhr;
1991-Q1;34,53;
1991-Q2;34,73;
1991-Q3;35,19;
1991-Q4;35,12;
1992-Q1;36,34;
1992-Q2;35,30;
1992-Q3;35,15;
1992-Q4;35,65;
1993-Q1;32,24;
1993-Q2;32,50;
1993-Q3;32,98;
1993-Q4;33,04;
1994-Q1;33,71;
1994-Q2;35,16;
1994-Q3;35,88;
1994-Q4;36,54;
1995-Q1;36,70;
1995-Q2;37,71;
1995-Q3;37,99;
1995-Q4;38,42;
1996-Q1;38,55;
1996-Q2;38,81;
1996-Q3;39,07;
1996-Q4;40,58;
1997-Q1;41,78;
1997-Q2;42,17;
1997-Q3;43,57;
1997-Q4;44,14;
1998-Q1;45,81;
1998-Q2;46,89;
1998-Q3;47,16;
1998-Q4;46,96;
1999-Q1;48,90;
1999-Q2;50,42;
1999-Q3;51,67;
1999-Q4;51,70;
2000-Q1;53,47;
2000-Q2;55,04;
2000-Q3;56,85;
2000-Q4;59,75;
2001-Q1;57,50;
2001-Q2;57,66;
2001-Q3;56,54;
2001-Q4;55,77;
2002-Q1;53,88;
2002-Q2;55,02;
2002-Q3;55,14;
2002-Q4;56,42;
2003-Q1;57,64;
2003-Q2;56,99;
2003-Q3;57,45;
2003-Q4;59,16;
2004-Q1;59,71;
2004-Q2;60,93;
2004-Q3;62,09;
2004-Q4;62,24;
2005-Q1;61,33;
2005-Q2;64,39;
2005-Q3;66,09;
2005-Q4;68,51;
2006-Q1;70,23;
2006-Q2;71,30;
2006-Q3;72,62;
2006-Q4;74,87;
2007-Q1;75,64;
2007-Q2;76,06;
2007-Q3;77,71;
2007-Q4;77,69;
2008-Q1;78,27;
2008-Q2;77,42;
2008-Q3;78,87;
2008-Q4;76,20;
2009-Q1;71,55;
2009-Q2;67,92;
2009-Q3;70,26;
2009-Q4;69,63;
2010-Q1;74,24;
2010-Q2;79,58;
2010-Q3;79,38;
2010-Q4;80,35;
2011-Q1;82,41;
2011-Q2;84,42;
2011-Q3;84,46;
2011-Q4;83,62;
2012-Q1;83,60;
2012-Q2;83,84;
2012-Q3;84,13;
2012-Q4;83,47;
2013-Q1;83,65;
2013-Q2;85,03;
2013-Q3;86,36;
2013-Q4;86,40;
2014-Q1;86,53;
2014-Q2;87,93;
2014-Q3;88,51;
2014-Q4;90,10;
2015-Q1;91,71;
2015-Q2;91,85;
2015-Q3;92,82;
2015-Q4;93,85;
2016-Q1;95,56;
2016-Q2;94,93;
2016-Q3;95,57;
2016-Q4;97,65;
2017-Q1;98,04;
2017-Q2;100,51;
2017-Q3;100,69;
2017-Q4;102,23;
2018-Q1;103,80;
2018-Q2;104,28;
2018-Q3;106,74;
2018-Q4;107,40;
2019-Q1;109,11;
2019-Q2;107,95;
2019-Q3;109,57;
2019-Q4;110,32;
2020-Q1;108,20;
2020-Q2;89,14;
2020-Q3;98,74;
2020-Q4;102,46;
2021-Q1;106,18;
2021-Q2;106,85;
2021-Q3;107,71;
2021-Q4;114,49;
2022-Q1;115,11;
2022-Q2;115,97;
2022-Q3;119,08;
2022-Q4;118,61;
2023-Q1;117,35;
2023-Q2;116,66;
2023-Q3;115,47;
2023-Q4;114,43;
2024-Q1;113,99;
2024-Q2;115,45;
2024-Q3;116,24;
2024-Q4;116,31;
2025-Q1;118,07;
2025-Q2;119,68;
2025-Q3;120,88;
2025-Q4;120,46;
