"";BBDP1.M.DE.Y.APE1.G.GP19SA000000.I21.A;BBDP1.M.DE.Y.APE1.G.GP19SA000000.I21.A_FLAGS
"";Außenhandelspreise Einfuhr Insgesamt / Deutschland / kalender- und saisonbereinigt / Insgesamt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2021=100;
Format der Zeitangabe;P1M;
Kategorie;KPAP;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;31.03.2026 08:12:10 Uhr;
1970-01;39,8;
1970-02;39,9;
1970-03;40,1;
1970-04;40,1;
1970-05;40,3;
1970-06;40,3;
1970-07;40,6;
1970-08;40,5;
1970-09;40,7;
1970-10;40,7;
1970-11;40,5;
1970-12;40,3;
1971-01;40,4;
1971-02;40,4;
1971-03;40,7;
1971-04;40,9;
1971-05;40,9;
1971-06;41,0;
1971-07;40,9;
1971-08;40,6;
1971-09;40,3;
1971-10;40,0;
1971-11;39,8;
1971-12;39,7;
1972-01;39,2;
1972-02;39,0;
1972-03;39,2;
1972-04;39,3;
1972-05;39,6;
1972-06;39,7;
1972-07;40,0;
1972-08;40,6;
1972-09;40,8;
1972-10;41,5;
1972-11;41,5;
1972-12;42,0;
1973-01;43,0;
1973-02;43,0;
1973-03;42,9;
1973-04;43,5;
1973-05;44,7;
1973-06;45,1;
1973-07;44,8;
1973-08;45,0;
1973-09;45,0;
1973-10;46,2;
1973-11;49,4;
1973-12;51,2;
1974-01;56,5;
1974-02;57,7;
1974-03;58,1;
1974-04;57,8;
1974-05;57,8;
1974-06;57,6;
1974-07;58,4;
1974-08;59,2;
1974-09;59,5;
1974-10;59,5;
1974-11;59,2;
1974-12;58,3;
1975-01;56,9;
1975-02;56,0;
1975-03;55,9;
1975-04;55,7;
1975-05;55,8;
1975-06;55,8;
1975-07;56,7;
1975-08;58,0;
1975-09;58,8;
1975-10;59,3;
1975-11;59,2;
1975-12;59,5;
1976-01;59,5;
1976-02;59,4;
1976-03;59,4;
1976-04;59,8;
1976-05;60,3;
1976-06;61,1;
1976-07;62,0;
1976-08;61,8;
1976-09;61,8;
1976-10;61,2;
1976-11;61,1;
1976-12;61,2;
1977-01;61,5;
1977-02;62,0;
1977-03;62,5;
1977-04;62,6;
1977-05;62,7;
1977-06;62,1;
1977-07;61,5;
1977-08;61,2;
1977-09;61,2;
1977-10;61,1;
1977-11;60,9;
1977-12;60,3;
1978-01;59,6;
1978-02;58,8;
1978-03;58,8;
1978-04;58,8;
1978-05;59,4;
1978-06;59,6;
1978-07;59,5;
1978-08;59,4;
1978-09;59,4;
1978-10;59,3;
1978-11;59,7;
1978-12;59,7;
1979-01;60,3;
1979-02;61,6;
1979-03;62,5;
1979-04;63,9;
1979-05;65,1;
1979-06;66,8;
1979-07;68,0;
1979-08;68,3;
1979-09;68,4;
1979-10;69,3;
1979-11;70,0;
1979-12;70,8;
1980-01;73,5;
1980-02;74,1;
1980-03;75,2;
1980-04;76,0;
1980-05;75,7;
1980-06;75,6;
1980-07;75,6;
1980-08;76,0;
1980-09;75,9;
1980-10;77,8;
1980-11;79,2;
1980-12;79,9;
1981-01;81,8;
1981-02;83,4;
1981-03;83,8;
1981-04;84,8;
1981-05;86,1;
1981-06;87,4;
1981-07;89,0;
1981-08;90,8;
1981-09;89,0;
1981-10;88,3;
1981-11;87,8;
1981-12;87,8;
1982-01;88,0;
1982-02;88,4;
1982-03;88,4;
1982-04;88,2;
1982-05;87,2;
1982-06;88,1;
1982-07;88,4;
1982-08;88,9;
1982-09;89,1;
1982-10;89,9;
1982-11;90,1;
1982-12;88,5;
1983-01;87,3;
1983-02;86,8;
1983-03;85,8;
1983-04;86,0;
1983-05;86,4;
1983-06;87,2;
1983-07;88,2;
1983-08;90,0;
1983-09;90,2;
1983-10;89,6;
1983-11;90,8;
1983-12;91,6;
1984-01;92,5;
1984-02;91,5;
1984-03;91,3;
1984-04;91,7;
1984-05;93,2;
1984-06;93,0;
1984-07;93,4;
1984-08;94,2;
1984-09;95,1;
1984-10;95,9;
1984-11;95,6;
1984-12;95,9;
1985-01;96,6;
1985-02;98,3;
1985-03;98,8;
1985-04;97,5;
1985-05;97,0;
1985-06;96,2;
1985-07;94,6;
1985-08;93,3;
1985-09;93,3;
1985-10;91,6;
1985-11;91,3;
1985-12;90,4;
1986-01;88,0;
1986-02;85,6;
1986-03;84,0;
1986-04;82,2;
1986-05;80,9;
1986-06;79,5;
1986-07;77,4;
1986-08;77,4;
1986-09;77,2;
1986-10;76,2;
1986-11;76,2;
1986-12;75,9;
1987-01;75,6;
1987-02;75,0;
1987-03;75,1;
1987-04;75,5;
1987-05;75,6;
1987-06;75,7;
1987-07;76,2;
1987-08;76,6;
1987-09;75,8;
1987-10;76,4;
1987-11;75,2;
1987-12;75,2;
1988-01;75,1;
1988-02;75,2;
1988-03;75,2;
1988-04;75,5;
1988-05;76,0;
1988-06;76,7;
1988-07;77,3;
1988-08;78,0;
1988-09;77,3;
1988-10;77,4;
1988-11;77,3;
1988-12;78,3;
1989-01;79,6;
1989-02;79,8;
1989-03;80,5;
1989-04;81,0;
1989-05;81,2;
1989-06;80,9;
1989-07;79,7;
1989-08;80,1;
1989-09;80,2;
1989-10;79,9;
1989-11;79,2;
1989-12;78,9;
1990-01;78,3;
1990-02;78,0;
1990-03;78,2;
1990-04;77,4;
1990-05;76,9;
1990-06;76,5;
1990-07;76,5;
1990-08;77,8;
1990-09;79,7;
1990-10;80,8;
1990-11;79,9;
1990-12;79,4;
1991-01;78,8;
1991-02;78,2;
1991-03;78,6;
1991-04;79,4;
1991-05;79,3;
1991-06;79,6;
1991-07;79,7;
1991-08;79,4;
1991-09;78,7;
1991-10;78,8;
1991-11;78,6;
1991-12;77,7;
1992-01;77,4;
1992-02;77,6;
1992-03;77,9;
1992-04;77,8;
1992-05;77,7;
1992-06;77,4;
1992-07;76,9;
1992-08;76,4;
1992-09;75,9;
1992-10;76,0;
1992-11;76,3;
1992-12;76,2;
1993-01;76,0;
1993-02;76,1;
1993-03;76,2;
1993-04;75,6;
1993-05;75,4;
1993-06;75,7;
1993-07;76,4;
1993-08;76,1;
1993-09;75,2;
1993-10;75,2;
1993-11;75,6;
1993-12;75,7;
1994-01;75,9;
1994-02;76,0;
1994-03;75,9;
1994-04;76,0;
1994-05;76,2;
1994-06;76,7;
1994-07;76,5;
1994-08;76,3;
1994-09;76,4;
1994-10;76,6;
1994-11;76,9;
1994-12;77,6;
1995-01;77,5;
1995-02;77,3;
1995-03;76,6;
1995-04;76,4;
1995-05;76,4;
1995-06;76,3;
1995-07;76,1;
1995-08;76,5;
1995-09;76,7;
1995-10;76,3;
1995-11;76,3;
1995-12;76,5;
1996-01;76,7;
1996-02;76,5;
1996-03;76,9;
1996-04;77,1;
1996-05;77,0;
1996-06;76,7;
1996-07;76,4;
1996-08;76,3;
1996-09;76,7;
1996-10;77,5;
1996-11;77,5;
1996-12;78,1;
1997-01;78,7;
1997-02;79,1;
1997-03;79,2;
1997-04;79,0;
1997-05;79,3;
1997-06;79,4;
1997-07;80,2;
1997-08;80,9;
1997-09;80,2;
1997-10;80,2;
1997-11;80,1;
1997-12;80,0;
1998-01;79,8;
1998-02;79,2;
1998-03;78,8;
1998-04;78,5;
1998-05;77,9;
1998-06;77,6;
1998-07;77,3;
1998-08;76,6;
1998-09;75,8;
1998-10;75,3;
1998-11;75,2;
1998-12;74,7;
1999-01;74,5;
1999-02;74,4;
1999-03;74,9;
1999-04;75,4;
1999-05;75,5;
1999-06;76,2;
1999-07;76,8;
1999-08;77,2;
1999-09;77,8;
1999-10;78,4;
1999-11;79,6;
1999-12;81,0;
2000-01;81,4;
2000-02;82,3;
2000-03;82,7;
2000-04;82,5;
2000-05;83,9;
2000-06;84,3;
2000-07;84,7;
2000-08;85,3;
2000-09;86,9;
2000-10;87,5;
2000-11;87,9;
2000-12;86,4;
2001-01;85,7;
2001-02;85,9;
2001-03;85,5;
2001-04;85,8;
2001-05;86,5;
2001-06;87,0;
2001-07;85,8;
2001-08;84,8;
2001-09;84,5;
2001-10;83,4;
2001-11;83,3;
2001-12;83,3;
2002-01;83,5;
2002-02;83,7;
2002-03;84,2;
2002-04;84,2;
2002-05;83,7;
2002-06;83,2;
2002-07;82,6;
2002-08;82,8;
2002-09;83,2;
2002-10;83,3;
2002-11;82,4;
2002-12;83,3;
2003-01;83,5;
2003-02;83,6;
2003-03;82,9;
2003-04;81,3;
2003-05;80,3;
2003-06;80,6;
2003-07;80,6;
2003-08;81,0;
2003-09;80,8;
2003-10;80,9;
2003-11;81,1;
2003-12;80,9;
2004-01;80,9;
2004-02;80,8;
2004-03;81,5;
2004-04;81,8;
2004-05;82,3;
2004-06;82,3;
2004-07;82,3;
2004-08;83,0;
2004-09;83,1;
2004-10;84,0;
2004-11;83,2;
2004-12;82,7;
2005-01;83,5;
2005-02;83,6;
2005-03;84,2;
2005-04;83,8;
2005-05;83,4;
2005-06;84,9;
2005-07;85,2;
2005-08;85,5;
2005-09;86,0;
2005-10;86,5;
2005-11;86,9;
2005-12;87,4;
2006-01;87,9;
2006-02;88,0;
2006-03;88,1;
2006-04;88,6;
2006-05;88,8;
2006-06;88,9;
2006-07;89,8;
2006-08;89,7;
2006-09;89,0;
2006-10;89,0;
2006-11;89,0;
2006-12;88,8;
2007-01;88,3;
2007-02;88,4;
2007-03;88,4;
2007-04;88,7;
2007-05;88,9;
2007-06;89,3;
2007-07;89,4;
2007-08;88,9;
2007-09;89,3;
2007-10;90,4;
2007-11;91,3;
2007-12;91,3;
2008-01;92,0;
2008-02;92,8;
