"";BBDE1.M.DE.Y.GUA1.A2P300000.F.V.I21.A;BBDE1.M.DE.Y.GUA1.A2P300000.F.V.I21.A_FLAGS
"";Umsatz Insgesamt / in jeweiligen Preisen / Deutschland / Industrie / kalender- und saisonbereinigt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2021=100;
Format der Zeitangabe;P1M;
Kategorie;KPUM;
Quelle;Kalender- und Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;08.04.2026 08:10:36 Uhr;
1991-01;55,9;
1991-02;54,9;
1991-03;55,0;
1991-04;54,8;
1991-05;54,6;
1991-06;55,8;
1991-07;54,8;
1991-08;54,2;
1991-09;54,5;
1991-10;55,7;
1991-11;57,0;
1991-12;55,8;
1992-01;56,4;
1992-02;56,9;
1992-03;56,0;
1992-04;56,2;
1992-05;55,9;
1992-06;55,3;
1992-07;54,2;
1992-08;54,3;
1992-09;54,9;
1992-10;53,9;
1992-11;53,6;
1992-12;54,4;
1993-01;51,7;
1993-02;51,7;
1993-03;51,6;
1993-04;51,5;
1993-05;50,6;
1993-06;50,6;
1993-07;50,1;
1993-08;51,7;
1993-09;51,4;
1993-10;51,2;
1993-11;51,0;
1993-12;52,2;
1994-01;51,0;
1994-02;51,7;
1994-03;51,9;
1994-04;52,5;
1994-05;52,4;
1994-06;52,6;
1994-07;52,9;
1994-08;52,4;
1994-09;54,2;
1994-10;55,2;
1994-11;55,8;
1994-12;56,3;
1995-01;55,0;
1995-02;56,1;
1995-03;55,8;
1995-04;55,5;
1995-05;56,1;
1995-06;56,1;
1995-07;55,0;
1995-08;55,0;
1995-09;55,9;
1995-10;54,6;
1995-11;54,9;
1995-12;55,8;
1996-01;55,0;
1996-02;53,7;
1996-03;54,5;
1996-04;55,3;
1996-05;55,1;
1996-06;55,6;
1996-07;55,0;
1996-08;55,2;
1996-09;56,7;
1996-10;55,9;
1996-11;56,8;
1996-12;57,0;
1997-01;55,8;
1997-02;56,2;
1997-03;57,5;
1997-04;57,0;
1997-05;57,3;
1997-06;58,6;
1997-07;59,8;
1997-08;58,5;
1997-09;59,3;
1997-10;59,2;
1997-11;60,2;
1997-12;60,9;
1998-01;59,8;
1998-02;60,3;
1998-03;61,4;
1998-04;60,6;
1998-05;61,1;
1998-06;61,8;
1998-07;61,6;
1998-08;60,9;
1998-09;60,3;
1998-10;60,5;
1998-11;59,5;
1998-12;60,8;
1999-01;60,3;
1999-02;59,2;
1999-03;61,2;
1999-04;60,0;
1999-05;60,7;
1999-06;61,7;
1999-07;62,1;
1999-08;62,4;
1999-09;63,6;
1999-10;63,3;
1999-11;63,3;
