STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,ACTIVITY,,ADJUSTMENT,,TRANSFORMATION,,TIME_HORIZ,,METHODOLOGY,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,BASE_PER,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2009-03,,57.29309,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2009-04,,57.41929,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2011-10,,77.98927,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2017-08,,117.2363,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2017-09,,110.1693,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1997-05,,274.0982,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,1997-06,,260.5952,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2012-11,,81.52277,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2012-12,,81.64896,,A,,0,,2,,2015,
DATAFLOW,OECD.SDD.STES:DSD_STES@DF_INDSERV(4.3),,I,DEU,,M,,NODW,,IX,,F41,,Y,,_Z,,_Z,,N,,2013-01,,80.5132,,A,,0,,2,,2015,
