"";BBDP1.M.DE.Y.EPG.G.GP19SA000000.I21.A;BBDP1.M.DE.Y.EPG.G.GP19SA000000.I21.A_FLAGS
"";Erzeugerpreise gewerblicher Produkte im Inlandsabsatz / Deutschland / kalender- und saisonbereinigt / Insgesamt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2021=100;
Format der Zeitangabe;P1M;
Kategorie;KPEV;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;20.03.2026 10:06:04 Uhr;
1991-01;65,6;
1991-02;65,7;
1991-03;65,6;
1991-04;66,2;
1991-05;66,2;
1991-06;66,3;
1991-07;66,8;
1991-08;66,9;
1991-09;67,1;
1991-10;67,0;
1991-11;67,1;
1991-12;67,1;
1992-01;66,7;
1992-02;67,0;
1992-03;67,2;
1992-04;67,5;
1992-05;67,4;
1992-06;67,7;
1992-07;67,5;
1992-08;67,5;
1992-09;67,4;
1992-10;67,3;
1992-11;67,4;
1992-12;67,4;
1993-01;67,3;
1993-02;67,5;
1993-03;67,5;
1993-04;67,3;
1993-05;67,3;
1993-06;67,3;
1993-07;67,4;
1993-08;67,4;
1993-09;67,1;
1993-10;67,1;
1993-11;67,2;
1993-12;67,3;
1994-01;67,4;
1994-02;67,5;
1994-03;67,6;
1994-04;67,5;
1994-05;67,6;
1994-06;67,6;
1994-07;67,6;
1994-08;67,6;
1994-09;67,5;
1994-10;67,7;
1994-11;68,1;
1994-12;68,3;
1995-01;68,5;
1995-02;68,8;
1995-03;69,0;
1995-04;68,8;
1995-05;68,8;
1995-06;68,9;
1995-07;68,8;
1995-08;68,8;
1995-09;68,9;
1995-10;68,9;
1995-11;68,9;
1995-12;69,1;
1996-01;68,0;
1996-02;68,0;
1996-03;67,9;
1996-04;67,8;
1996-05;67,9;
1996-06;67,8;
1996-07;67,7;
1996-08;67,7;
1996-09;68,0;
1996-10;68,3;
1996-11;68,4;
1996-12;68,5;
1997-01;68,4;
1997-02;68,5;
1997-03;68,4;
1997-04;68,5;
1997-05;68,7;
1997-06;68,7;
