"";BBDE1.M.DE.Y.GUA1.N2G470000.A.C.I15.A;BBDE1.M.DE.Y.GUA1.N2G470000.A.C.I15.A_FLAGS
"";Umsatz Insgesamt / in konstanten Preisen / Deutschland / 47 Einzelhandel (ohne Handel mit Kraftfahrzeugen) / kalender- und saisonbereinigt;
Dezimalstellen;1;
Dimension;Eins;
Einheit;2015=100;
Format der Zeitangabe;P1M;
Kategorie;KPUM;
Quelle;Saisonbereinigung basierend auf Ursprungswerten des Statistischen Bundesamts;
Umrechnungsart;Durchschnitt;
Stand vom;10.04.2026 13:52:56 Uhr;
1994-01;97,0;
1994-02;97,5;
1994-03;97,7;
1994-04;96,9;
1994-05;95,9;
1994-06;96,3;
1994-07;95,6;
1994-08;97,0;
1994-09;97,5;
1994-10;97,9;
1994-11;96,7;
1994-12;98,7;
1995-01;95,9;
1995-02;99,3;
1995-03;99,3;
1995-04;97,7;
1995-05;99,5;
1995-06;99,3;
1995-07;98,2;
1995-08;98,5;
1995-09;97,9;
1995-10;97,5;
1995-11;98,3;
1995-12;98,6;
1996-01;97,3;
1996-02;97,1;
1996-03;96,8;
1996-04;98,7;
1996-05;97,2;
1996-06;97,1;
1996-07;97,6;
1996-08;97,6;
1996-09;98,0;
1996-10;97,1;
1996-11;97,2;
1996-12;96,6;
1997-01;97,0;
1997-02;95,8;
1997-03;96,0;
1997-04;97,2;
1997-05;95,7;
1997-06;97,3;
1997-07;95,5;
1997-08;93,3;
1997-09;95,1;
1997-10;97,2;
1997-11;94,8;
1997-12;94,4;
1998-01;95,5;
1998-02;96,1;
1998-03;98,4;
1998-04;95,3;
1998-05;95,7;
1998-06;94,5;
1998-07;96,8;
1998-08;95,6;
1998-09;95,6;
1998-10;96,0;
1998-11;98,3;
1998-12;96,4;
1999-01;96,5;
1999-02;97,1;
1999-03;98,1;
1999-04;94,5;
1999-05;94,8;
1999-06;95,4;
1999-07;95,1;
1999-08;96,4;
1999-09;93,0;
1999-10;96,1;
1999-11;96,3;
1999-12;96,5;
2000-01;96,4;
2000-02;97,4;
2000-03;96,5;
2000-04;97,4;
2000-05;97,7;
2000-06;96,4;
2000-07;96,5;
2000-08;96,9;
2000-09;95,8;
2000-10;96,5;
2000-11;96,5;
2000-12;97,4;
2001-01;99,7;
2001-02;97,1;
2001-03;98,0;
2001-04;97,3;
2001-05;97,3;
2001-06;96,8;
2001-07;96,9;
2001-08;96,8;
2001-09;96,2;
2001-10;94,9;
2001-11;97,8;
2001-12;96,1;
2002-01;94,3;
2002-02;94,1;
2002-03;94,2;
2002-04;95,3;
2002-05;94,7;
2002-06;93,7;
2002-07;95,2;
2002-08;94,7;
2002-09;95,6;
2002-10;95,4;
2002-11;94,5;
2002-12;94,2;
2003-01;93,3;
2003-02;93,8;
2003-03;93,3;
2003-04;93,8;
2003-05;93,9;
2003-06;93,7;
2003-07;93,6;
2003-08;93,3;
2003-09;94,0;
2003-10;94,8;
2003-11;93,7;
2003-12;92,8;
2004-01;94,3;
2004-02;95,0;
2004-03;95,4;
2004-04;96,2;
2004-05;93,8;
2004-06;95,2;
2004-07;95,2;
2004-08;94,7;
2004-09;95,0;
2004-10;94,6;
2004-11;95,8;
2004-12;95,6;
2005-01;97,6;
2005-02;96,4;
2005-03;96,5;
2005-04;96,0;
2005-05;95,8;
2005-06;96,4;
2005-07;96,4;
2005-08;96,8;
2005-09;96,3;
2005-10;96,5;
2005-11;96,6;
2005-12;96,6;
2006-01;96,4;
2006-02;96,7;
2006-03;96,3;
2006-04;96,8;
2006-05;97,2;
2006-06;97,5;
2006-07;96,3;
2006-08;97,0;
2006-09;95,5;
2006-10;96,2;
2006-11;96,3;
2006-12;100,7;
2007-01;94,6;
2007-02;96,6;
2007-03;96,5;
2007-04;99,2;
2007-05;94,3;
2007-06;95,4;
2007-07;95,5;
2007-08;95,5;
2007-09;95,7;
2007-10;95,6;
2007-11;94,5;
2007-12;94,7;
2008-01;95,7;
2008-02;96,6;
2008-03;94,8;
2008-04;95,0;
2008-05;94,8;
2008-06;94,2;
2008-07;94,2;
2008-08;95,1;
2008-09;96,6;
2008-10;95,3;
2008-11;96,1;
2008-12;95,9;
2009-01;93,0;
2009-02;92,6;
2009-03;92,7;
2009-04;94,7;
2009-05;92,2;
2009-06;90,7;
2009-07;92,5;
2009-08;91,6;
2009-09;92,6;
2009-10;92,9;
2009-11;93,3;
2009-12;93,9;
2010-01;90,9;
2010-02;93,4;
2010-03;93,9;
2010-04;93,5;
2010-05;94,1;
2010-06;94,6;
2010-07;95,3;
2010-08;94,5;
2010-09;94,2;
2010-10;94,0;
