STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,ACTIVITY,,UNIT_MEASURE,,PRICE_BASE,,TRANSFORMATION,,ADJUSTMENT,,CONVERSION_TYPE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,BASE_PER,,DECIMALS,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,2015-Q3,,100.2365,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,2015-Q4,,100.6976,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,2016-Q4,,102.5036,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,1991-Q1,,70.42759,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,1991-Q2,,74.09043,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,1991-Q3,,74.6127,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,1991-Q4,,74.68196,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,1992-Q1,,75.80252,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,1992-Q2,,77.99217,,A,,0,,2015,,0,
DATAFLOW,OECD.SDD.TPS:DSD_PDB@DF_PDB_ULC_Q(1.0),,I,DEU,,Q,,ULCE,,_T,,IX,,V,,_Z,,S,,NC,,1992-Q3,,80.6405,,A,,0,,2015,,0,
