Prognose;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;F;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W;F;S;H;W
Jahr;2007;2008;2008;2008;2008;2009;2009;2009;2009;2010;2010;2010;2010;2011;2011;2011;2011;2012;2012;2012;2012;2013;2013;2013;2013;2014;2014;2014;2014;2015;2015;2015;2015;2016;2016;2016;2016;2017;2017;2017;2017;2018;2018;2018;2018;2019;2019;2019;2019;2020;2020;2020;2020;2021;2021;2021;2021;2022;2022;2022;2022;2023;2023;2023;2023;2024;2024;2024;2024;2025;2025;2025;2025;2026;2026;2026;2026;2026;2026;2027;2027;2027;2027;2028;2028;2028;2028;2029;2029;2029;2029;2030;2030;2030;2030;2031;2031;2031;2031;2032;2032;2032;2032
Datenstand;14.11.07;14.02.08;15.05.08;14.08.08;13.11.08;13.02.09;15.05.09;13.08.09;13.11.09;12.02.10;12.05.10;13.08.10;12.11.10;15.02.11;13.05.11;16.08.11;15.11.11;15.02.12;15.05.12;14.08.12;15.11.12;14.02.13;15.05.13;14.08.13;14.11.13;14.02.14;15.05.14;14.08.14;14.11.14;13.02.15;13.05.15;14.08.15;13.11.15;12.02.16;13.05.16;12.08.16;15.11.16;14.02.17;12.05.17;15.08.17;14.11.17;14.02.18;15.05.18;14.08.18;14.11.18;14.02.19;15.05.19;14.08.19;14.11.19;14.02.20;15.05.20;25.08.20;24.11.20;24.02.21;25.05.21;24.08.21;25.11.21;25.02.22;25.05.22;25.08.22;25.11.22;24.02.23;25.05.23;25.08.23;24.11.23;23.02.24;24.05.24;30.08.24;22.11.24;25.02.25;23.05.25;22.08.25;25.11.25;25.02.26;25.02.26;25.02.26;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02.05;0,35;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.05.05;0,40;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.08.05;0,57;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.05;0,28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.02.06;0,85;;0,85;;0,83;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.05.06;1,31;;1,31;;1,50;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.08.06;0,74;;0,74;;0,70;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15.11.06;0,99;;0,99;;1,05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
