target_date,1 step forecast,2 step forecast,3 step forecast,4 step forecast,5 step forecast,6 step forecast
2018-01-01,0.5,,0.45,,,
2018-04-01,0.62,0.5,,0.45,,
2018-07-01,0.4,0.55,0.5,,0.45,
2018-10-01,0.5,0.4,0.5,0.5,,0.45
2019-01-01,0.4,0.55,0.55,0.6,,
2019-04-01,0.3,0.4,0.5,0.5,0.5,
2019-07-01,0.3,0.35,0.3,0.45,0.45,0.5
2019-10-01,0.1,0.3,0.35,0.3,0.35,0.45
2020-01-01,0.24,0.25,0.3,0.35,0.3,0.3
2020-04-01,-4.5,0.29,0.35,0.3,0.35,0.3
2020-07-01,6.9,2.0,0.33,0.35,0.3,0.35
2020-10-01,2.75,3.8,1.7,0.34,0.35,0.3
2021-01-01,0.59,1.36,2.2,1.5,0.4,0.35
2021-04-01,2.06,2.6,0.83,1.1,1.0,0.4
2021-07-01,3.56,1.85,0.71,0.5,0.5,0.38
2021-10-01,1.3,1.5,0.86,0.6,0.39,0.4
2022-01-01,-0.01,1.66,0.49,0.49,0.46,0.39
2022-04-01,0.99,2.34,1.17,0.46,0.46,0.44
2022-07-01,1.17,1.1,1.75,0.71,0.43,0.43
2022-10-01,-0.18,1.4,1.11,0.81,0.49,0.43
2023-01-01,-0.39,-0.4,1.04,0.89,0.53,0.26
2023-04-01,0.06,0.07,0.0,0.84,0.74,0.32
2023-07-01,0.18,0.46,0.55,0.48,0.62,0.48
2023-10-01,0.32,0.42,0.56,0.5,0.48,0.42
2024-01-01,0.29,0.48,0.5,0.53,0.42,0.51
2024-04-01,0.21,0.4,0.56,0.46,0.43,0.37
2024-07-01,0.43,0.51,0.44,0.5,0.33,0.29
2024-10-01,0.21,0.52,0.53,0.44,0.38,0.33
2025-01-01,0.2,0.31,0.46,0.44,0.4,0.33
2025-04-01,0.2,0.15,0.42,0.39,0.35,0.3
2025-07-01,0.1,0.15,0.11,0.45,0.32,0.31
2025-10-01,0.21,0.21,0.13,0.1,0.35,0.28
