target_date,1 step forecast,2 step forecast,3 step forecast,4 step forecast,5 step forecast,6 step forecast
2018-01-01,0.795825138,,,,,
2018-04-01,1.013747312,0.795825138,,,,
2018-07-01,-0.552463687,1.013747312,0.795825138,,,
2018-10-01,0.78595128,-0.552463687,1.013747312,0.795825138,,
2019-01-01,-0.654674072,0.78595128,-0.552463687,1.013747312,0.795825138,
2019-04-01,0.445787754,-0.654674072,0.78595128,-0.552463687,1.013747312,0.795825138
2019-07-01,0.656051344,0.445787754,-0.654674072,0.78595128,-0.552463687,1.013747312
2019-10-01,0.057511159,0.656051344,0.445787754,-0.654674072,0.78595128,-0.552463687
2020-01-01,0.383184023,0.057511159,0.656051344,0.445787754,-0.654674072,0.78595128
2020-04-01,-0.334001322,0.383184023,0.057511159,0.656051344,0.445787754,-0.654674072
2020-07-01,-2.029880629,-0.334001322,0.383184023,0.057511159,0.656051344,0.445787754
2020-10-01,-8.874121348,-2.029880629,-0.334001322,0.383184023,0.057511159,0.656051344
2021-01-01,8.676539989,-8.874121348,-2.029880629,-0.334001322,0.383184023,0.057511159
2021-04-01,0.967136602,8.676539989,-8.874121348,-2.029880629,-0.334001322,0.383184023
2021-07-01,-0.61577059,0.967136602,8.676539989,-8.874121348,-2.029880629,-0.334001322
2021-10-01,2.35050875,-0.61577059,0.967136602,8.676539989,-8.874121348,-2.029880629
2022-01-01,0.0864778,2.35050875,-0.61577059,0.967136602,8.676539989,-8.874121348
2022-04-01,0.537633511,0.0864778,2.35050875,-0.61577059,0.967136602,8.676539989
2022-07-01,0.677998691,0.537633511,0.0864778,2.35050875,-0.61577059,0.967136602
2022-10-01,0.151757481,0.677998691,0.537633511,0.0864778,2.35050875,-0.61577059
2023-01-01,0.293588631,0.151757481,0.677998691,0.537633511,0.0864778,2.35050875
2023-04-01,-0.349383371,0.293588631,0.151757481,0.677998691,0.537633511,0.0864778
2023-07-01,-0.471430686,-0.349383371,0.293588631,0.151757481,0.677998691,0.537633511
2023-10-01,-0.076170873,-0.471430686,-0.349383371,0.293588631,0.151757481,0.677998691
2024-01-01,4.418e-06,-0.076170873,-0.471430686,-0.349383371,0.293588631,0.151757481
2024-04-01,-0.276321878,4.418e-06,-0.076170873,-0.471430686,-0.349383371,0.293588631
2024-07-01,-0.107481162,-0.276321878,4.418e-06,-0.076170873,-0.471430686,-0.349383371
2024-10-01,-0.258253405,-0.107481162,-0.276321878,4.418e-06,-0.076170873,-0.471430686
2025-01-01,0.019178466,-0.258253405,-0.107481162,-0.276321878,4.418e-06,-0.076170873
2025-04-01,0.182171054,0.019178466,-0.258253405,-0.107481162,-0.276321878,4.418e-06
2025-07-01,0.366064729,0.182171054,0.019178466,-0.258253405,-0.107481162,-0.276321878
2025-10-01,-0.200249999,0.366064729,0.182171054,0.019178466,-0.258253405,-0.107481162
