hidden_size,batch_size,fold,origin,mse,epochs_used_mean,epochs_used_all,best_epoch_mean,best_epoch_all,time_s
2,8,1,2013-04-01,0.26316586787911933,218.6,"[223, 173, 225, 204, 268]",118.6,"[123, 73, 125, 104, 168]",17.70401096343994
2,8,2,2014-10-01,0.11374547301495046,256.8,"[475, 161, 231, 162, 255]",156.8,"[375, 61, 131, 62, 155]",20.922685861587524
2,8,3,2016-04-01,0.2056859346534676,395.6,"[250, 540, 665, 199, 324]",295.6,"[150, 440, 565, 99, 224]",33.85355877876282
2,16,1,2013-04-01,0.2636305051767278,285.0,"[272, 219, 297, 282, 355]",185.0,"[172, 119, 197, 182, 255]",16.297621965408325
2,16,2,2014-10-01,0.14703693036418528,327.2,"[579, 191, 298, 198, 370]",227.2,"[479, 91, 198, 98, 270]",20.486032009124756
2,16,3,2016-04-01,0.1887884295952685,535.2,"[380, 753, 965, 247, 331]",435.2,"[280, 653, 865, 147, 231]",35.658254623413086
2,32,1,2013-04-01,0.265971556521143,365.2,"[350, 280, 387, 356, 453]",265.2,"[250, 180, 287, 256, 353]",18.62681221961975
2,32,2,2014-10-01,0.14288376627767482,458.4,"[848, 241, 400, 258, 545]",358.4,"[748, 141, 300, 158, 445]",24.45853018760681
2,32,3,2016-04-01,0.16399522596292293,574.4,"[246, 1000, 698, 470, 458]",485.6,"[146, 956, 598, 370, 358]",32.00609564781189
4,8,1,2013-04-01,0.2565578123150544,180.2,"[178, 163, 170, 178, 212]",80.2,"[78, 63, 70, 78, 112]",12.721490859985352
4,8,2,2014-10-01,0.13853830177132095,195.2,"[145, 179, 281, 154, 217]",95.2,"[45, 79, 181, 54, 117]",14.881138324737549
4,8,3,2016-04-01,0.15412193806809985,192.8,"[186, 242, 182, 191, 163]",92.8,"[86, 142, 82, 91, 63]",15.738215923309326
4,16,1,2013-04-01,0.2574007406434348,219.2,"[219, 190, 204, 224, 259]",119.2,"[119, 90, 104, 124, 159]",12.31676173210144
4,16,2,2014-10-01,0.12891038274963745,213.6,"[173, 205, 238, 183, 269]",113.6,"[73, 105, 138, 83, 169]",13.230987071990967
4,16,3,2016-04-01,0.15124749313571273,237.8,"[226, 321, 221, 222, 199]",137.8,"[126, 221, 121, 122, 99]",15.48971700668335
4,32,1,2013-04-01,0.2592343351351806,275.6,"[276, 236, 246, 293, 327]",175.6,"[176, 136, 146, 193, 227]",14.029811143875122
4,32,2,2014-10-01,0.14191603768186448,246.8,"[205, 151, 297, 225, 356]",146.8,"[105, 51, 197, 125, 256]",13.191286087036133
4,32,3,2016-04-01,0.16052555491729445,384.0,"[294, 479, 275, 295, 577]",284.0,"[194, 379, 175, 195, 477]",21.513418912887573
8,8,1,2013-04-01,0.2854897011579577,143.6,"[146, 134, 146, 158, 134]",43.6,"[46, 34, 46, 58, 34]",10.217181921005249
8,8,2,2014-10-01,0.1310089880389179,151.4,"[132, 162, 153, 140, 170]",51.4,"[32, 62, 53, 40, 70]",11.568674087524414
8,8,3,2016-04-01,0.15096202018898658,180.0,"[159, 175, 282, 148, 136]",80.0,"[59, 75, 182, 48, 36]",14.773422956466675
8,16,1,2013-04-01,0.28212120376950456,167.2,"[176, 150, 170, 187, 153]",67.2,"[76, 50, 70, 87, 53]",9.504873037338257
8,16,2,2014-10-01,0.1249148809106765,175.6,"[149, 194, 183, 150, 202]",75.6,"[49, 94, 83, 50, 102]",10.891682863235474
8,16,3,2016-04-01,0.15262551822984405,213.4,"[182, 199, 362, 168, 156]",113.4,"[82, 99, 262, 68, 56]",13.86799693107605
8,32,1,2013-04-01,0.28153027029798544,201.0,"[211, 176, 211, 228, 179]",101.0,"[111, 76, 111, 128, 79]",10.257308006286621
8,32,2,2014-10-01,0.12710260639240345,227.4,"[177, 256, 242, 193, 269]",127.4,"[77, 156, 142, 93, 169]",12.128222942352295
8,32,3,2016-04-01,0.15950324762998494,273.4,"[226, 253, 494, 207, 187]",173.4,"[126, 153, 394, 107, 87]",15.414309978485107
16,8,1,2013-04-01,0.27914116737449846,125.2,"[130, 116, 123, 131, 126]",25.2,"[30, 16, 23, 31, 26]",9.523032903671265
16,8,2,2014-10-01,0.16622133763819916,126.8,"[133, 117, 134, 126, 124]",26.8,"[33, 17, 34, 26, 24]",10.542327880859375
16,8,3,2016-04-01,0.20875085622820458,141.8,"[168, 137, 145, 127, 132]",41.8,"[68, 37, 45, 27, 32]",12.534731149673462
